CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,NOx
1.4,1155,36,4.2,722,1225,84,1414,959,11.6,62.7,0.8530,101
1.6,1235,57,6.4,828,1055,83,1527,1093,12.4,60.0,0.8627,118
2.2,1332,129,8.6,923,952,98,1614,1225,14.5,53.1,0.8728,144
2.8,1445,148,10.9,1009,878,114,1696,1355,16.9,46.1,0.8789,176
2.8,1416,145,10.7,1002,907,119,1677,1262,19.3,38.3,0.8474,161
2,1281,93,7.5,880,1084,104,1525,980,21.2,31.4,0.7812,113
1.8,1207,84,7.5,879,1104,102,1490,872,21.4,30.2,0.7616,103
1.9,1258,99,8.2,906,1081,107,1511,900,21.9,29.0,0.7525,112
3,1458,150,11.9,1045,974,129,1646,1099,22.2,28.4,0.7516,170
2.9,1438,156,12.0,1051,943,128,1668,1206,21.3,30.8,0.7696,180
2.5,1478,122,12.2,1055,929,121,1671,1262,19.7,36.7,0.8307,160
4.6,1808,262,20.6,1312,753,157,1993,1698,18.4,41.7,0.8732,261
5.9,1898,341,23.1,1381,681,173,2103,1905,17.6,46.1,0.9210,325
3.4,1560,214,14.7,1140,784,146,1818,1648,16.7,49.6,0.9320,217
2.1,1324,100,9.0,940,924,121,1587,1423,16.3,51.0,0.9341,146
2.2,1349,79,8.8,933,933,119,1617,1349,14.7,55.9,0.9314,152
1.8,1239,66,7.4,872,985,99,1547,1250,14.8,54.7,0.9164,104
1.8,1239,73,6.9,853,1010,93,1543,1174,14.0,57.0,0.9094,106
1.8,1224,66,7.0,855,998,88,1566,1149,13.4,61.3,0.9361,108
1.1,1078,44,4.4,734,1128,-200,1487,1021,12.6,63.5,0.9230,-200
-200,1078,44,4.0,711,1150,71,1468,1013,12.3,65.4,0.9351,66
1,1075,39,3.9,703,1156,74,1464,1010,11.9,67.4,0.9375,88
1.4,1157,51,6.4,830,1030,80,1584,1083,11.4,70.5,0.9475,138
2.2,1314,107,9.7,966,897,89,1710,1235,11.3,70.2,0.9401,228
5.5,1797,336,25.9,1451,652,114,2323,1680,12.4,63.9,0.9170,360
8.1,1961,618,36.7,1701,537,149,2665,2184,14.8,54.3,0.9076,478
5.8,1771,438,26.6,1470,622,157,2262,1973,17.4,45.6,0.8993,394
4.2,1564,334,20.1,1300,710,155,2029,1798,19.8,38.5,0.8801,319
3.1,1430,221,14.1,1120,831,134,1783,1522,22.0,34.1,0.8904,201
2.9,1417,207,14.9,1146,830,119,1831,1404,23.3,32.2,0.9096,171
2.9,1400,191,15.4,1162,838,111,1829,1263,23.9,30.0,0.8757,159
2.5,1317,185,12.1,1053,926,104,1707,1137,24.4,28.9,0.8736,153
2.3,1318,141,11.5,1033,950,99,1675,1068,24.4,29.4,0.8848,143
2.8,1445,214,14.8,1141,857,110,1824,1252,23.8,31.3,0.9137,156
6.1,1917,471,32.1,1601,631,162,2447,1843,22.5,35.4,0.9547,314
8,2040,685,39.2,1754,542,187,2679,2122,20.4,42.5,1.0086,404
6.5,1895,538,31.0,1573,565,165,2443,1992,18.3,52.6,1.0945,320
4.2,1595,319,19.9,1294,678,145,2058,1707,16.7,57.4,1.0786,256
3.2,1439,224,15.3,1159,764,125,1856,1494,15.7,60.2,1.0654,193
1.4,1142,67,6.9,852,1008,101,1547,1164,15.3,61.4,1.0580,89
2.1,1304,155,11.1,1019,852,103,1731,1272,14.1,65.7,1.0494,127
1.2,1074,49,5.4,784,1098,88,1483,1040,14.8,60.6,1.0148,79
0.8,968,29,2.8,640,1320,61,1386,867,14.8,59.2,0.9879,43
0.7,929,25,2.3,608,1376,-200,1364,826,13.6,62.1,0.9636,-200
-200,941,25,2.6,626,1316,59,1373,840,12.3,66.2,0.9450,59
0.6,937,17,2.0,585,1412,52,1348,793,12.8,63.2,0.9283,38
0.9,1017,27,3.5,681,1246,64,1418,870,11.2,68.5,0.9081,82
1.3,1171,50,5.1,770,1162,70,1467,930,11.0,66.5,0.8705,99
3.4,1541,218,16.2,1185,770,97,1889,1407,11.7,63.7,0.8719,263
3.7,1539,285,19.7,1287,698,95,2055,1507,13.6,56.3,0.8743,229
5.3,1735,437,25.1,1431,628,150,2211,1843,17.8,42.9,0.8672,396
4.1,1571,327,20.0,1297,730,162,1973,1729,21.4,33.3,0.8417,314
3.3,1452,283,18.3,1250,776,154,1868,1583,24.4,27.4,0.8231,217
4,1579,366,22.3,1359,724,161,1998,1671,25.3,26.1,0.8264,252
3.8,1466,318,20.4,1309,773,161,1897,1491,25.8,23.2,0.7589,263
2.8,1280,228,14.6,1136,893,128,1675,1240,27.0,20.2,0.7094,180
2.9,1407,201,16.6,1197,905,129,1759,1313,28.2,18.6,0.7014,184
2.9,1389,199,15.8,1173,898,133,1739,1363,28.0,19.1,0.7098,190
3.4,1447,237,17.8,1235,859,139,1778,1296,23.9,25.7,0.7519,184
3.9,1551,261,19.1,1271,800,137,1875,1432,21.3,34.8,0.8730,181
3.2,1474,230,15.8,1173,854,143,1776,1432,20.4,36.7,0.8704,166
5.1,1800,349,24.9,1426,700,177,2106,2034,19.0,41.3,0.9007,317
2.6,1379,183,13.5,1101,818,138,1710,1602,17.9,45.9,0.9342,184
1.7,1201,88,9.1,943,935,117,1560,1362,16.7,48.9,0.9226,130
1.7,1205,85,8.6,925,922,107,1547,1314,15.5,52.9,0.9271,132
1.2,1072,47,5.4,784,1066,90,1442,1114,15.5,51.9,0.9059,95
0.9,998,34,4.1,714,1169,79,1383,992,14.1,55.6,0.8910,70
0.7,933,26,2.6,625,1292,-200,1332,884,13.1,57.9,0.8666,-200
-200,883,17,1.9,577,1396,60,1303,808,12.7,57.9,0.8447,54
0.5,869,11,1.6,554,1460,40,1268,667,11.8,58.0,0.8026,28
0.5,891,18,1.9,576,1417,53,1289,733,11.9,57.4,0.7978,46
1.6,1173,84,7.5,878,1038,84,1556,1052,9.9,65.2,0.7956,160
4.1,1587,260,21.4,1334,702,108,1999,1534,11.1,60.2,0.7958,320
6.6,1852,534,36.4,1696,553,127,2535,1931,14.1,50.0,0.8020,377
4.3,1522,368,21.3,1331,703,134,2026,1734,17.7,40.1,0.8048,280
2.9,1438,200,15.4,1161,819,135,1782,1595,21.1,33.4,0.8265,221
2.5,1393,145,12.5,1067,905,142,1654,1490,24.3,28.3,0.8471,210
2.8,1452,188,15.1,1152,861,153,1747,1508,25.6,25.6,0.8254,204
2.6,1389,152,13.7,1108,887,123,1712,1334,25.9,25.9,0.8503,161
2,1207,103,10.4,994,1013,104,1520,1045,26.8,18.7,0.6500,135
2.9,1365,193,15.2,1154,940,129,1679,1221,29.3,15.8,0.6309,186
2.5,1247,134,12.3,1060,1032,114,1525,1069,28.5,14.9,0.5708,147
5,1557,386,27.0,1478,793,158,1981,1569,25.9,16.0,0.5237,299
7.6,1973,577,38.4,1737,617,194,2414,2306,23.1,26.5,0.7403,411
6.7,1975,523,35.1,1667,597,182,2416,2359,20.5,38.2,0.9133,347
5.7,1795,472,27.2,1485,653,180,2174,2050,19.1,42.6,0.9294,336
2.8,1444,206,15.0,1150,770,136,1727,1727,17.2,44.1,0.8558,202
2.6,1488,216,15.7,1171,731,127,1778,1705,16.0,50.9,0.9206,178
2.3,1371,159,13.0,1083,796,116,1669,1551,14.8,53.9,0.9024,154
1.4,1161,70,8.1,904,947,107,1502,1240,14.3,55.4,0.8975,92
1,1064,44,5.5,787,1057,88,1407,1115,14.8,52.1,0.8686,61
0.7,970,42,3.6,687,1196,-200,1351,969,13.9,53.9,0.8501,-200
-200,954,28,2.9,645,1260,78,1334,925,11.6,61.9,0.8442,60
0.6,931,20,2.5,623,1293,57,1307,828,12.0,58.9,0.8233,37
0.7,938,26,3.0,650,1251,71,1333,893,10.9,62.1,0.8113,68
1.5,1166,78,7.7,885,1005,85,1551,1075,10.6,63.3,0.8067,139
4.7,1643,319,23.3,1384,667,124,2094,1610,11.5,60.0,0.8117,339
6.6,1934,506,35.8,1682,541,151,2468,2051,14.3,50.6,0.8186,421
4.5,1617,-200,21.3,1333,686,150,2010,1819,17.8,40.5,0.8210,349
2.8,1473,-200,14.3,1127,831,152,1752,1568,20.8,34.4,0.8365,224
2.2,1379,-200,12.5,1068,899,139,1663,1374,23.8,28.2,0.8219,171
2.2,1385,-200,12.2,1056,891,133,1648,1268,24.2,28.7,0.8515,149
2.3,1379,-200,13.1,1087,901,126,1660,1144,25.2,24.9,0.7829,137
2.2,1322,-200,14.4,1129,934,128,1639,1109,27.0,17.8,0.6275,149
2.8,1496,-200,16.8,1205,822,169,1767,1347,27.1,23.1,0.8180,172
2.7,1409,-200,14.5,1131,873,149,1689,1206,25.8,23.9,0.7832,166
3.7,1513,-200,21.5,1338,764,156,1957,1397,23.0,26.8,0.7446,214
5.1,1667,-200,26.4,1464,683,168,2118,1588,20.7,31.1,0.7523,280
5.1,1667,-200,26.0,1453,684,176,2051,1569,18.6,36.2,0.7676,276
3.2,1430,-200,14.1,1121,814,135,1732,1322,16.0,48.4,0.8768,178
2.1,1333,-200,10.3,989,885,121,1621,1194,14.5,57.8,0.9456,129
1.7,1262,-200,8.3,911,948,99,1545,1062,13.1,64.2,0.9606,95
2,1287,-200,8.9,936,918,106,1606,1040,12.0,69.7,0.9735,126
1.6,1134,-200,6.6,840,1021,96,1501,917,11.9,71.1,0.9915,103
0.9,999,-200,3.6,688,1229,63,1380,594,12.5,69.3,1.0029,48
0.7,961,-200,2.5,622,1382,-200,1301,430,12.5,67.5,0.9768,-200
-200,934,-200,1.8,569,1440,32,1280,397,12.3,67.7,0.9665,20
0.5,913,-200,1.3,525,1620,28,1260,370,12.5,66.8,0.9620,18
0.7,969,-200,2.3,607,1373,61,1324,438,12.3,66.3,0.9487,56
1.5,1182,-200,6.7,845,1054,99,1539,704,12.4,64.9,0.9332,115
4.8,1740,-200,22.8,1372,671,157,2144,1476,13.0,61.6,0.9209,320
6.2,1819,-200,31.3,1582,575,166,2456,1716,13.6,58.8,0.9120,357
4,1427,-200,19.2,1275,701,149,1980,1398,13.9,57.1,0.9032,253
3.3,1390,-200,16.4,1191,759,135,1879,1268,14.5,54.4,0.8917,218
2.8,1283,-200,14.0,1117,813,127,1751,1188,15.5,50.1,0.8744,192
3,1304,-200,15.3,1157,793,122,1801,1171,16.1,47.6,0.8655,176
3.3,1364,-200,16.7,1202,771,135,1875,1250,16.3,47.1,0.8640,198
3.5,1410,-200,19.0,1268,724,139,1957,1344,16.4,47.5,0.8791,212
4,1476,-200,19.4,1280,708,147,1955,1378,16.1,50.2,0.9094,249
4.6,1522,-200,20.9,1320,690,158,2005,1435,16.0,50.7,0.9142,270
4.1,1442,-200,20.2,1301,704,146,1952,1372,15.8,50.3,0.8989,231
4.5,1469,-200,21.7,1344,677,144,1997,1471,15.5,50.6,0.8840,251
3.9,1467,-200,19.8,1292,698,138,1942,1439,15.4,51.4,0.8956,210
4,1421,-200,16.7,1202,748,143,1854,1429,15.2,53.1,0.9117,249
2.2,1175,-200,9.1,945,904,116,1604,1081,14.7,57.6,0.9573,143
2.1,1215,-200,8.3,912,948,109,1547,993,14.2,58.3,0.9380,127
1.7,1127,-200,5.8,802,1064,92,1447,837,13.8,57.9,0.9085,104
1.6,1090,-200,5.2,773,1105,83,1429,761,13.9,55.9,0.8842,86
1.3,1017,-200,4.1,718,1182,81,1382,650,13.9,55.6,0.8765,74
1.3,997,-200,3.4,677,1252,-200,1359,591,13.8,55.1,0.8666,-200
-200,945,-200,2.9,646,1308,55,1332,505,13.8,54.6,0.8574,44
0.8,956,-200,3.1,661,1260,53,1351,518,13.6,55.1,0.8560,42
0.8,966,-200,2.5,622,1317,67,1342,571,13.6,59.0,0.9129,63
1.1,1064,-200,4.3,728,1161,91,1461,842,13.5,58.4,0.8960,115
2.1,1300,-200,8.9,935,902,113,1623,1145,13.8,58.0,0.9083,170
2.4,1348,-200,10.5,998,834,102,1689,1218,14.6,53.1,0.8765,147
2.6,1425,-200,12.5,1068,776,107,1764,1341,15.0,52.3,0.8881,166
2.8,1474,-200,12.3,1061,768,113,1768,1406,15.4,52.1,0.9046,195
2.6,1490,-200,11.7,1039,782,108,1757,1422,16.3,50.0,0.9158,182
2.6,1495,-200,11.7,1040,809,105,1735,1373,17.1,47.9,0.9281,168
2.1,1376,-200,9.3,953,900,93,1636,1153,19.0,42.9,0.9370,125
1.7,1305,-200,7.6,884,980,87,1573,927,19.5,42.3,0.9476,95
1.6,1283,-200,6.7,844,1036,76,1539,766,19.5,42.3,0.9493,79
2.1,1392,-200,9.7,967,930,94,1649,941,19.1,43.8,0.9556,119
2.3,1452,-200,12.4,1063,856,110,1774,1146,18.5,46.3,0.9744,142
3.5,1633,-200,16.6,1199,734,136,1919,1417,17.4,51.6,1.0159,215
3.9,1625,-200,16.4,1191,733,139,1885,1442,17.1,51.3,0.9914,229
3.3,1535,-200,13.7,1108,785,125,1820,1323,16.4,53.8,0.9964,206
2.3,1323,-200,9.9,973,864,111,1712,1125,16.2,55.4,1.0132,147
2.1,1309,-200,8.9,937,905,97,1672,1036,15.9,57.7,1.0356,122
2.8,1456,-200,10.6,999,835,107,1714,1202,15.7,58.6,1.0396,175
2.1,1300,-200,7.4,872,941,90,1577,1054,15.1,60.9,1.0398,133
1.6,1203,-200,6.2,823,1004,84,1526,903,15.6,56.6,0.9951,89
1.6,1195,-200,6.5,836,987,-200,1554,885,15.2,57.9,0.9941,-200
-200,1117,-200,5.8,802,1029,87,1539,818,15.4,57.8,1.0021,85
1.1,1062,-200,4.0,711,1136,66,1461,700,14.9,60.6,1.0196,55
0.7,947,-200,2.1,594,1300,36,1390,580,14.5,63.0,1.0316,24
0.8,1065,-200,3.6,687,1143,62,1492,815,14.2,66.2,1.0630,72
1.2,1155,-200,4.4,734,1062,91,1528,1035,14.5,65.3,1.0704,122
1.4,1220,-200,5.4,782,996,89,1560,1067,15.3,62.1,1.0730,111
1.7,1301,-200,7.1,862,914,93,1633,1114,16.3,59.0,1.0868,123
1.8,1279,-200,7.3,870,911,81,1646,1000,18.9,49.6,1.0700,106
1.8,1267,-200,7.6,883,953,82,1617,906,19.4,46.1,1.0249,103
1.9,1239,-200,6.8,848,981,80,1568,822,20.8,41.6,1.0091,102
1.3,1128,-200,4.6,742,1144,48,1507,610,21.4,40.3,1.0126,48
1.6,1243,-200,8.4,916,962,61,1669,657,21.2,39.3,0.9791,63
1.9,1208,-200,6.9,853,1060,89,1506,647,20.3,38.0,0.8942,98
2.3,1306,-200,9.0,938,961,105,1607,762,19.4,41.3,0.9206,132
3.8,1546,-200,15.1,1151,769,116,1874,1122,18.5,43.8,0.9252,173
3.5,1501,-200,12.6,1071,823,119,1744,1130,17.8,48.1,0.9689,185
4.3,1605,-200,15.1,1153,769,144,1840,1637,17.9,46.9,0.9520,266
2.8,1316,-200,9.9,974,883,123,1673,1272,17.4,49.1,0.9688,188
1.9,1195,-200,8.0,898,933,105,1594,1098,17.0,51.7,0.9914,122
1.9,1211,-200,7.9,896,920,93,1624,1066,16.4,55.1,1.0198,112
1.7,1161,-200,6.1,815,995,86,1582,909,16.1,60.0,1.0919,93
1.5,1095,-200,5.1,767,1050,76,1547,818,15.8,60.5,1.0805,74
0.6,897,-200,1.7,563,1417,33,1355,472,16.3,57.0,1.0491,23
0.4,842,-200,0.7,468,1813,-200,1274,394,16.9,53.9,1.0309,-200
-200,854,-200,0.8,481,1756,27,1304,396,16.1,55.9,1.0153,17
0.3,845,-200,0.7,472,1786,23,1278,378,16.5,53.9,1.0049,15
0.6,942,-200,2.0,586,1480,46,1373,432,16.4,54.0,0.9979,41
1.2,1090,-200,5.1,768,1072,76,1538,699,15.7,57.6,1.0195,86
3.6,1514,-200,17.7,1230,732,116,1996,1252,15.8,53.7,0.9571,226
3.7,1379,-200,18.4,1252,711,115,1962,1237,17.4,42.1,0.8281,214
1.8,1074,-200,6.9,854,1032,83,1484,772,17.9,38.4,0.7793,115
1.6,1090,-200,7.3,868,1026,87,1509,766,18.5,36.7,0.7764,124
1.9,1110,-200,9.6,964,947,90,1577,829,21.0,29.6,0.7263,122
2,1102,-200,10.4,994,955,87,1599,783,21.3,28.1,0.7067,107
2.2,1100,-200,11.2,1021,952,99,1607,822,21.3,26.1,0.6539,133
2.1,1094,-200,10.7,1003,965,99,1574,813,21.3,26.8,0.6681,130
2.3,1076,451,11.6,1034,964,101,1544,813,21.3,24.2,0.6060,150
2.6,1152,185,12.4,1062,928,103,1606,850,20.2,28.5,0.6682,138
3.8,1407,426,18.3,1249,720,129,1932,1276,17.0,43.1,0.8264,213
4.4,1438,672,21.0,1325,678,143,1993,1401,15.6,47.4,0.8347,232
4.5,1425,624,21.0,1325,678,146,1965,1356,15.3,47.4,0.8178,238
3.3,1279,325,14.5,1131,775,124,1758,1243,14.5,49.7,0.8177,180
2,1132,143,8.4,916,920,113,1561,1083,13.9,52.0,0.8231,128
1.1,1006,89,4.3,729,1142,80,1370,795,14.5,49.4,0.8106,65
0.9,982,73,3.8,700,1204,72,1359,735,13.8,51.4,0.8071,53
0.8,969,48,2.7,636,1271,64,1309,684,14.0,51.3,0.8163,47
0.7,941,47,2.5,621,1298,70,1330,714,13.0,56.8,0.8444,51
0.5,892,36,1.2,522,1522,-200,1285,456,11.0,70.0,0.9215,-200
-200,855,25,0.8,478,1701,31,1261,401,10.1,76.8,0.9483,20
0.3,834,19,0.6,459,1908,22,1212,361,8.8,80.5,0.9147,13
0.5,909,26,1.8,567,1542,47,1287,418,9.6,75.4,0.9004,33
1.1,1061,60,4.6,745,1178,88,1429,616,9.8,75.0,0.9093,103
3,1441,248,14.2,1124,851,130,1829,1089,10.0,74.2,0.9117,224
3.8,1498,535,21.0,1325,684,132,2095,1329,11.2,69.7,0.9232,244
3.4,1343,340,16.2,1185,760,132,1857,1311,12.0,62.9,0.8803,237
3,1308,325,15.5,1166,792,131,1794,1236,12.8,55.8,0.8210,220
2.7,1209,267,13.4,1097,837,129,1746,1147,13.1,54.8,0.8234,207
3.5,1310,325,16.9,1207,770,132,1847,1301,13.8,53.4,0.8351,208
2.8,1171,268,12.4,1064,881,110,1639,1097,16.0,42.4,0.7674,160
1.9,1112,136,10.1,980,924,99,1589,900,14.1,49.8,0.7971,131
2,1132,118,8.7,927,944,100,1570,781,12.0,61.1,0.8537,128
3,1225,276,13.8,1111,818,122,1719,1013,13.6,54.6,0.8465,176
1.9,1065,151,9.3,953,962,97,1514,790,13.7,49.5,0.7695,107
2.7,1236,236,13.0,1084,854,112,1688,1059,11.7,57.1,0.7822,131
3.3,1309,220,14.3,1126,812,128,1722,1205,11.5,58.2,0.7867,166
1.7,1089,87,7.6,884,1006,101,1487,975,12.6,54.2,0.7881,89
1.3,1000,81,5.3,776,1141,96,1375,896,12.0,54.9,0.7664,81
1.3,1041,74,5.4,782,1105,86,1425,911,11.0,61.4,0.8057,78
1.2,1045,55,4.9,756,1137,85,1411,902,11.1,62.2,0.8199,70
1.1,997,74,4.6,744,1151,79,1405,832,10.8,62.5,0.8082,76
0.9,948,35,2.7,634,1320,61,1326,715,11.3,60.0,0.8025,43
0.6,878,29,1.6,551,1493,-200,1272,683,10.6,61.6,0.7856,-200
-200,908,29,1.7,559,1477,66,1287,721,10.2,62.7,0.7813,44
0.6,892,20,1.2,522,1572,54,1255,648,10.9,58.6,0.7628,34
0.8,954,32,1.7,561,1496,57,1255,612,10.8,57.2,0.7382,43
1.2,1045,84,4.8,751,1186,75,1403,800,10.4,59.2,0.7455,79
3.1,1383,245,13.8,1109,832,97,1706,1173,11.0,57.3,0.7501,174
4.4,1597,553,23.7,1395,652,110,2080,1519,11.2,56.9,0.7565,235
3.4,1318,450,14.2,1124,762,113,1770,1287,12.1,54.9,0.7734,218
1.7,1138,118,8.0,898,950,88,1505,966,15.1,44.3,0.7535,136
1.5,1098,118,6.7,842,1012,85,1440,828,15.6,40.6,0.7146,117
1.7,1118,144,8.7,927,959,96,1477,825,16.9,34.6,0.6597,119
2.2,1170,159,10.8,1009,879,106,1566,872,16.6,35.6,0.6697,126
-200,1112,122,6.7,842,1015,91,1494,680,11.3,63.9,0.8554,100
2.7,1390,230,11.4,1028,829,126,1730,1002,9.6,81.1,0.9720,197
2.8,1353,320,13.4,1096,774,130,1783,1159,11.7,69.1,0.9497,195
2.7,1260,263,12.0,1050,828,111,1722,979,10.7,68.5,0.8794,156
4.5,1501,556,20.2,1302,681,134,2008,1311,10.7,67.3,0.8643,247
3.5,1273,458,14.4,1130,795,136,1744,1071,10.8,65.7,0.8486,190
2.6,1179,214,9.4,955,928,125,1571,899,10.3,66.3,0.8336,169
