CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,NOx
-200,1057,-200,5.1,768,958,-200,1527,884,12.4,82.4,1.1848,-200
8.4,1822,-200,45.9,1890,347,187,2641,2161,23.2,58.7,1.6510,918
4.4,1364,-200,22.9,1376,580,179,2168,1356,32.5,30.9,1.4875,235
1.8,932,-200,11.3,1026,851,122,1523,944,33.4,17.1,0.8627,195
5.3,1735,437,25.1,1431,628,150,2211,1843,17.8,42.9,0.8672,396
0.8,895,-200,3.2,663,977,74,1007,866,6.8,75.4,0.7475,165
1.7,1101,-200,7.4,875,722,68,1748,927,31.6,43.6,1.9944,65
2.2,-200,-200,-200.0,-200,-200,83,-200,-200,-200,-200,-200,76
1.5,997,-200,7.5,879,885,109,1404,887,23.5,40.6,1.1588,181
0.9,806,-200,3.8,702,1052,28,1035,500,17.2,33.9,0.6591,59
2.4,1163,-200,11.4,1027,604,179,1264,1269,24.3,23.7,0.7119,353
-200,-200,-200,-200.0,-200,-200,-200,-200,-200,-200,-200,-200,-200
2,1093,-200,10.1,981,666,82,1676,733,32.7,33.0,1.5987,166
2.3,956,-200,8.8,931,799,140,1046,1015,16.1,28.5,0.5164,409
-200,1070,-200,10.8,1008,656,-200,1649,963,26.0,43.6,1.4407,-200
1.3,912,-200,7.4,873,946,86,1436,614,36.6,15.2,0.9177,89
5.2,1433,-200,28.6,1518,499,170,1973,1770,19.0,47.8,1.0434,693
1.4,-200,-200,-200.0,-200,-200,85,-200,-200,-200,-200,-200,74
0.9,1013,-200,3.3,671,817,104,1056,986,12.6,53.7,0.7793,123
2,987,-200,5.6,794,852,119,1106,971,8.5,65.0,0.7221,225
1.5,1107,-200,5.3,777,697,99,1221,945,13.1,66.1,0.9913,183
2.5,1210,-200,15.0,1148,639,112,1849,1327,32.2,30.4,1.4433,137
0.8,927,-200,3.5,682,1109,54,1526,580,14.6,77.1,1.2727,56
1.7,1055,-200,9.0,941,844,110,1648,932,35.2,24.8,1.3854,100
-200,1036,-200,6.8,850,760,-200,1411,1001,21.7,60.2,1.5442,-200
3.8,1129,-200,8.5,920,689,169,1139,1182,6.7,59.1,0.5848,331
1.7,1066,128,8.8,931,979,81,1474,757,24.8,25.3,0.7793,118
-200,1088,-200,15.3,1159,666,-200,1626,889,37.2,18.9,1.1774,-200
-200,1133,-200,6.2,823,775,-200,1449,777,26.9,44.4,1.5510,-200
2.6,1310,210,15.4,1160,695,94,1939,1224,21.4,50.9,1.2823,153
2.0,1141,-200,8.0,898,689,174,1014,1356,4.4,47.5,0.4017,320
2.2,1197,-200,11.4,1029,601,-200,1628,1362,26.0,45.3,1.4999,-200
1.2,1031,-200,6.5,834,793,47,1640,737,32.5,39.4,1.8982,47
-200,721,-200,0.7,470,2331,35,815,367,13.2,35.6,0.5375,42
0.7,831,-200,1.5,543,1132,88,787,737,0.6,53.3,0.3467,100
-200,915,-200,7.4,873,873,-200,1135,915,3.7,76.2,0.6137,-200
3.4,1404,-200,15.0,1149,469,115,1523,1614,16.1,46.4,0.8436,581
1.2,1045,55,4.9,756,1137,85,1411,902,11.1,62.2,0.8199,70
0.8,952,52,3.0,654,1210,73,1312,832,7.7,72.4,0.7655,72
1.7,1138,118,8.0,898,950,88,1505,966,15.1,44.3,0.7535,136
1.8,1011,-200,9.1,945,733,102,1570,1034,29.9,30.5,1.2616,134
1.2,989,-200,4.0,713,954,78,1552,626,27.6,47.5,1.7266,72
-200,1143,-200,14.1,1119,610,-200,1770,1103,31.8,30.5,1.4083,-200
2.3,1124,-200,8.3,910,717,148,1112,1340,5.9,66.4,0.6226,389
1.7,1020,-200,9.0,941,1016,95,1425,756,25.7,19.4,0.6304,138
1.6,1216,143,9.5,960,788,92,1662,1256,17.9,56.2,1.1420,87
3.3,-200,-200,-200.0,-200,-200,247,-200,-200,-200,-200,-200,492
2.3,908,-200,11.5,1031,857,112,1469,901,34.5,13.3,0.7158,187
1.7,1094,-200,7.2,865,708,141,1061,1223,2.0,65.3,0.4688,372
2.6,1048,-200,6.8,847,801,181,955,888,5.5,43.5,0.3963,324
2.9,1253,-200,13.3,1095,566,218,1375,1206,4.6,77.6,0.6651,355
0.5,784,-200,2.8,641,1114,-200,1319,588,22.2,40.6,1.0729,-200
0.5,912,-200,3.9,706,891,55,1500,1022,25.6,45.8,1.4801,34
1.3,1040,83,3.9,705,1149,91,1324,612,11.0,58.9,0.7714,100
4.6,1497,698,25.8,1449,679,186,1985,1532,29.5,20.1,0.8136,281
-200,1430,-200,20.7,1316,638,-200,2069,1382,11.0,77.4,1.0135,-200
-200,1511,-200,30.8,1569,476,-200,2195,1601,17.4,70.1,1.3783,-200
1.8,1070,-200,9.2,947,609,124,1292,815,26.1,26.3,0.8750,210
2.3,1331,-200,13.0,1082,588,80,1689,1252,28.5,42.4,1.6286,274
1.6,1099,-200,6.3,826,739,120,1223,940,15.9,52.2,0.9377,230
0.3,748,-200,0.8,477,1703,28,1301,380,19.1,52.7,1.1545,21
-200,1219,-200,11.8,1042,699,-200,1750,1253,29.0,45.5,1.7976,-200
5.1,1589,-200,24.1,1407,556,203,1757,1972,15.8,57.9,1.0292,932
1.7,1144,-200,8.3,913,715,68,1782,972,35.1,38.1,2.1144,89
-200,1116,-200,11.8,1044,613,-200,1694,954,28.3,39.2,1.4826,-200
1.4,1136,-200,5.4,781,712,119,1169,691,21.2,35.9,0.8943,174
-200,1366,-200,10.5,997,830,-200,1673,1041,18.5,48.9,1.0323,-200
1.3,966,-200,9.3,951,812,77,1735,996,18.3,60.8,1.2635,123
-200,1265,-200,16.1,1184,619,-200,1930,1270,24.2,65.6,1.9501,-200
1.6,957,-200,7.4,875,891,102,1525,871,25.7,33.0,1.0763,172
-200,808,-200,2.6,630,1234,43,1256,573,15.2,45.5,0.7830,30
1.4,930,-200,6.6,838,957,78,1319,680,27.7,28.1,1.0272,189
5.3,1490,-200,27.3,1487,508,161,2115,1807,22.6,51.4,1.3920,665
0.8,870,54,2.6,626,1325,52,1284,755,9.6,58.5,0.7000,39
0.9,928,-200,3.6,687,1025,66,1491,528,27.6,43.7,1.5877,48
0.7,925,40,2.2,602,1398,59,1263,562,8.0,69.4,0.7459,45
1.3,843,-200,6.4,830,995,72,1339,577,30.1,19.4,0.8157,89
-200,993,-200,7.2,866,832,98,1637,823,28.8,38.9,1.5184,111
4,1392,-200,16.4,1192,543,183,1508,1795,13.7,59.9,0.9335,856
2,888,-200,10.8,1007,870,105,1448,794,33.8,13.9,0.7172,149
0.8,774,-200,1.8,569,1222,58,984,434,11.4,54.6,0.7363,100
1.6,1020,-200,10.2,984,853,81,1753,1031,23.7,45.1,1.3033,81
0.9,862,71,2.7,635,1320,58,1193,393,17.2,35.0,0.6789,58
-200,999,-200,7.2,867,785,-200,1644,864,27.2,46.0,1.6376,-200
2.3,1184,222,10.2,983,823,106,1604,1166,16.6,48.7,0.9146,169
0.4,736,-200,0.6,453,1498,37,602,268,0.2,40.6,0.2566,39
3.6,1451,210,14.0,1117,875,161,1679,1387,18.4,33.8,0.7090,239
1.5,1089,-200,11.3,1024,831,111,1452,1182,27.4,31.5,1.1330,180
1.0,895,-200,2.3,607,944,93,1012,512,16.3,44.8,0.8244,114
-200,982,-200,6.5,836,840,-200,1498,696,29.6,35.4,1.4426,-200
3,1267,-200,18.7,1260,572,82,1776,1259,16.2,75.9,1.3872,383
-200,1103,-200,10.0,979,666,-200,1520,1156,19.5,69.7,1.5596,-200
3.4,1135,-200,12.8,1076,685,171,1120,1396,4.3,49.4,0.4138,491
3.9,1505,-200,23.4,1388,516,146,1978,1503,25.8,44.8,1.4644,422
1,-200,-200,-200.0,-200,-200,60,-200,-200,-200,-200,-200,58
2.3,1000,-200,10.2,985,846,103,1726,879,23.5,41.2,1.1759,157
3.3,-200,-200,-200.0,-200,-200,162,-200,-200,-200,-200,-200,487
1.5,1124,78,6.7,842,1050,71,1418,936,7.2,63.9,0.6500,98
3.4,1248,-200,16.0,1179,577,165,1259,1609,9.9,44.0,0.5381,472
2.7,1004,-200,10.8,1007,848,81,1321,926,19.3,32.3,0.7163,241
6.5,-200,-200,-200.0,-200,-200,284,-200,-200,-200,-200,-200,1061
0.4,986,-200,5.3,781,1063,58,1633,693,17.6,81.6,1.6296,60
1.2,926,-200,5.9,805,901,78,1511,524,29.4,34.4,1.3899,60
-200,1017,-200,7.6,885,726,-200,1609,884,21.5,64.0,1.6256,-200
2.5,1276,-200,14.6,1135,625,105,1887,1436,29.4,38.7,1.5581,143
2.1,1063,114,7.5,877,971,89,1481,811,18.0,38.4,0.7862,115
2.2,1322,-200,14.4,1129,934,128,1639,1109,27.0,17.8,0.6275,149
0.8,-200,-200,-200.0,-200,-200,99,-200,-200,-200,-200,-200,120
1.5,1054,-200,8.6,923,783,64,1793,899,23.3,60.5,1.7060,63
1.2,-200,-200,-200.0,-200,-200,85,-200,-200,-200,-200,-200,74
2.3,1142,-200,6.8,849,680,154,1173,1189,4.1,81.2,0.6721,347
-200,1203,-200,15.8,1174,577,-200,1824,1426,30.8,34.8,1.5165,-200
2.3,-200,-200,-200.0,-200,-200,116,-200,-200,-200,-200,-200,128
0.4,873,-200,1.5,545,1308,-200,1471,497,15.6,81.0,1.4302,-200
1.1,915,-200,3.7,695,883,86,1094,826,6.2,82.1,0.7825,192
2.5,1072,-200,13.0,1084,843,114,1622,1017,27.7,20.8,0.7599,148
1.9,1090,-200,9.1,942,828,102,1713,876,32.9,28.0,1.3789,145
1.9,1038,-200,6.6,837,822,184,972,915,4.6,39.4,0.3367,336
2.1,1111,-200,10.3,991,721,109,1559,1028,24.1,50.7,1.4959,218
2.5,1193,-200,13.4,1097,698,155,1832,1139,36.6,27.8,1.6760,152
1.5,1172,-200,6.0,813,774,152,1233,1118,10.3,74.0,0.9237,339
1.9,1280,-200,9.9,976,780,88,1912,1003,16.0,80.8,1.4602,180
-200,861,-200,3.0,654,995,-200,919,632,6.7,50.7,0.4998,-200
-200,987,-200,10.9,1009,914,-200,1697,1227,27.4,31.0,1.1184,-200
3.3,1240,-200,15.9,1175,614,174,1895,1262,36.0,28.0,1.6304,196
-200,1840,-200,44.0,1852,360,-200,2553,2143,24.5,49.5,1.5022,-200
1.5,1046,-200,6.0,812,782,153,940,1265,3.9,51.6,0.4226,242
-200,1216,-200,14.6,1136,658,131,1737,1265,31.7,28.1,1.2912,128
3.3,1131,-200,16.5,1194,726,125,1907,1009,29.0,33.4,1.3169,172
2.3,1293,161,8.9,937,930,102,1464,1200,10.9,55.9,0.7277,121
1.8,1070,79,5.2,776,1065,93,1369,697,10.6,59.5,0.7595,127
3.6,1295,555,18.9,1266,716,137,1849,1359,21.5,34.5,0.8746,181
-200,1215,-200,20.2,1303,694,97,2180,1358,20.0,57.4,1.3268,220
4.2,1396,-200,15.5,1164,508,196,1488,1412,4.3,84.0,0.7051,639
0.7,878,-200,5.2,774,1065,42,1527,552,23.9,45.6,1.3328,27
-200,1075,-200,10.5,998,914,-200,1574,800,25.8,26.1,0.8540,-200
1,946,-200,5.1,767,870,65,1443,728,28.2,36.6,1.3722,57
0.3,985,-200,6.1,816,987,65,1677,799,17.3,78.6,1.5412,107
1.2,990,-200,6.9,852,967,90,1488,669,42.2,14.2,1.1609,70
2.2,1207,136,7.3,868,877,106,1532,1075,13.9,64.0,1.0130,119
4.4,1488,-200,19.6,1286,452,170,1648,1766,9.9,73.3,0.8936,910
-200,1106,-200,14.4,1130,623,-200,1726,1093,35.9,24.7,1.4370,-200
0.4,824,-200,3.1,660,1033,46,1342,618,21.4,45.6,1.1493,36
4.8,1315,-200,22.9,1375,526,137,1576,1549,6.7,72.6,0.7180,845
3,1409,415,15.6,1169,685,105,1874,1459,20.0,45.0,1.0390,188
1.0,1203,-200,9.3,951,618,162,1162,1305,17.2,30.6,0.5949,339
2,1037,-200,12.7,1075,789,151,1604,917,40.2,13.9,1.0200,172
-200,971,-200,5.5,786,812,-200,1086,796,12.0,49.3,0.6900,-200
3.5,1248,-200,16.6,1197,641,202,1405,1395,10.1,45.6,0.5632,892
1.0,928,-200,3.8,701,926,86,902,456,28.7,13.7,0.5302,119
2.2,1048,-200,9.9,973,731,148,1298,1074,10.5,70.3,0.8930,346
-200,1033,-200,9.0,939,729,-200,1159,979,11.2,45.1,0.5971,-200
1.9,1049,-200,8.0,898,858,113,1671,921,29.9,33.2,1.3793,153
1.6,1053,-200,5.6,795,786,110,1039,1143,6.8,56.4,0.5609,179
-200,1524,-200,20.8,1320,514,-200,1925,1481,23.7,55.6,1.6074,-200
1.6,985,-200,9.1,944,866,97,1541,833,30.1,23.5,0.9869,102
4.6,1475,-200,22.0,1351,625,165,2006,1696,21.0,41.1,1.0104,294
0.7,895,-200,1.5,545,1080,-200,964,685,4.3,81.0,0.6770,-200
-200,932,-200,6.2,820,817,-200,1462,921,23.6,45.4,1.3067,-200
2.3,1109,-200,7.9,896,710,175,1132,1242,7.5,58.7,0.6112,303
1.6,990,-200,8.3,912,777,86,1648,689,32.2,37.4,1.7655,65
2.4,1203,-200,16.8,1204,790,102,1744,1079,30.2,20.5,0.8672,129
0.5,851,18,0.8,477,1699,26,1064,343,14.5,36.1,0.5928,15
4.7,1464,-200,22.4,1362,487,100,1987,1648,21.2,70.3,1.7476,543
-200,1296,-200,10.0,977,863,-200,1642,746,26.1,30.8,1.0253,-200
1.1,955,-200,5.1,766,898,58,1597,620,37.1,30.5,1.8962,58
0.9,-200,-200,-200.0,-200,-200,65,-200,-200,-200,-200,-200,48
-200,1041,-200,9.6,962,728,102,1694,936,24.6,45.1,1.3714,119
3.4,1301,-200,17.3,1218,553,133,1806,1399,22.6,61.1,1.6596,406
1.2,955,-200,5.2,772,1030,106,957,960,9.3,43.1,0.5062,243
3.9,1358,-200,21.3,1331,459,214,1518,1523,20.2,29.3,0.6860,531
-200,984,-200,6.9,854,964,43,1751,885,20.8,62.0,1.5002,73
-200,717,-200,1.8,570,1326,-200,1110,368,33.3,17.1,0.8592,-200
2.7,1043,-200,14.1,1121,736,126,1793,967,24.5,35.7,1.0807,149
-200,1126,-200,11.9,1045,689,-200,1523,1166,19.6,56.0,1.2623,-200
1.7,1007,-200,9.8,971,866,106,1682,802,31.3,28.7,1.2885,120
-200,1227,-200,12.2,1055,705,-200,1772,1360,23.0,64.8,1.8020,-200
2.2,1169,-200,8.3,910,726,87,1563,992,21.1,68.3,1.6914,334
1.9,-200,-200,-200.0,-200,-200,109,-200,-200,-200,-200,-200,104
1.6,1203,-200,6.2,823,1004,84,1526,903,15.6,56.6,0.9951,89
2.3,1434,-200,18.0,1239,506,223,1458,1835,12.1,55.3,0.7777,530
0.6,879,-200,1.0,495,1147,73,753,623,3.3,44.6,0.3499,75
4.5,1290,-200,21.9,1349,534,204,1386,1638,13.7,28.1,0.4381,709
1.1,962,-200,5.9,808,866,74,1430,868,22.6,56.3,1.5233,99
4,1524,-200,17.6,1228,853,170,1646,1675,15.8,70.5,1.2557,707
2.3,1276,-200,13.5,1099,783,114,1680,925,32.5,18.6,0.8948,136
-200,984,-200,7.2,864,788,-200,1371,960,16.2,69.1,1.2590,-200
0.9,914,-200,5.8,801,965,57,1609,908,22.3,50.6,1.3486,42
2.6,1206,-200,15.8,1175,618,130,1746,1068,29.8,38.0,1.5642,275
1.2,922,-200,4.1,716,930,115,893,643,6.6,41.2,0.4046,192
-200,1312,-200,23.1,1381,540,-200,1881,1402,21.5,44.5,1.1290,-200
3.1,-200,-200,-200.0,-200,-200,209,-200,-200,-200,-200,-200,355
1.5,1016,110,6.6,839,991,97,1448,790,16.6,44.3,0.8294,119
2.6,1425,-200,12.5,1068,776,107,1764,1341,15.0,52.3,0.8881,166
-200,855,-200,4.3,725,983,-200,898,613,11.4,32.8,0.4424,-200
5,-200,-200,-200.0,-200,-200,164,-200,-200,-200,-200,-200,937
4.5,1501,556,20.2,1302,681,134,2008,1311,10.7,67.3,0.8643,247
1.2,949,-200,7.8,890,854,-200,1484,884,18.8,59.8,1.2847,-200
3.6,1195,-200,13.4,1096,668,169,1166,1315,1.4,61.3,0.4208,543
1.9,1138,-200,10.2,985,742,103,1710,1141,25.2,42.7,1.3473,120
-200,1013,-200,5.4,781,829,-200,1469,894,19.8,66.4,1.5145,-200
2.8,1109,-200,11.2,1021,689,168,1361,1036,11.5,78.1,1.0565,395
2.2,1242,-200,11.2,1022,630,83,1641,1139,24.8,56.4,1.7447,266
2.1,1261,-200,15.0,1148,585,111,1733,1287,27.2,48.5,1.7172,312
3.0,1109,-200,12.3,1060,650,215,1091,1412,10.9,25.7,0.3341,595
2.1,1301,-200,10.5,998,553,171,1283,1610,14.3,49.6,0.8049,327
0.6,787,-200,2.0,584,1317,60,1129,446,14.9,60.5,1.0213,99
6.7,1432,-200,36.9,1706,488,204,2098,1842,24.7,27.9,0.8559,702
3.7,1200,-200,19.8,1290,657,106,2014,1196,14.9,56.9,0.9582,214
-200,1150,-200,15.0,1149,620,-200,1676,1113,22.7,47.6,1.2989,-200
-200,870,-200,2.8,637,947,-200,1445,716,21.3,64.1,1.6043,-200
1.6,1017,-200,5.8,805,807,174,958,1032,6.3,45.8,0.4408,287
3.8,1254,-200,18.1,1241,873,163,1463,1431,28.2,24.8,0.9360,420
-200,1392,-200,17.7,1231,530,-200,1771,1567,25.7,46.4,1.5070,-200
2.2,1253,-200,10.3,988,589,123,1292,1314,16.1,36.3,0.6593,285
1.5,962,-200,6.6,841,827,158,901,821,11.5,22.1,0.2987,252
-200,1243,-200,15.4,1162,766,-200,1731,1354,26.1,26.8,0.8921,-200
2.1,1146,-200,14.1,1119,746,101,1823,1200,27.2,30.7,1.0884,171
-200,1310,-200,18.7,1259,620,-200,1926,1240,28.6,48.2,1.8616,-200
-200,945,-200,7.7,886,818,-200,1307,827,18.0,46.1,0.9401,-200
1.8,1242,-200,9.9,973,856,106,1632,819,26.8,33.5,1.1602,99
-200,830,-200,3.4,674,1246,-200,1459,607,19.2,53.1,1.1662,-200
3.8,1289,-200,13.6,1104,623,165,1257,1499,5.2,67.8,0.6028,531
-200.0,751,-200,0.4,424,1583,29,726,303,5.5,42.4,0.3867,29
2.7,1065,-200,16.6,1198,766,137,1852,1043,35.3,18.8,1.0572,169
4,1305,-200,16.3,1188,546,-200,1843,1524,31.0,33.1,1.4620,-200
4,1233,-200,23.8,1398,613,159,1975,1834,32.6,20.6,0.9939,230
-200,1120,-200,18.0,1238,1023,-200,1591,1126,31.0,15.9,0.7039,-200
3.1,1064,-200,12.2,1055,738,138,1242,1063,14.1,43.0,0.6883,412
1.8,1079,-200,11.1,1020,754,92,1760,1014,29.7,33.9,1.3874,89
0.7,830,-200,2.3,608,1282,41,1370,441,18.6,52.3,1.1121,33
1.1,861,-200,3.7,695,1130,67,1438,500,13.9,72.5,1.1502,56
3,1121,-200,17.1,1214,707,154,1912,1120,31.4,25.3,1.1444,232
3.7,1385,-200,13.3,1094,765,129,1769,1175,17.6,58.5,1.1645,190
-200,1054,-200,11.6,1036,697,-200,1585,830,35.7,22.2,1.2765,-200
-200,843,-200,2.2,597,1242,-200,1341,727,14.3,59.2,0.9601,-200
2.8,971,-200,4.5,739,868,117,972,664,9.9,43.5,0.5300,181
1.4,962,155,5.2,776,1131,81,1247,535,18.2,26.1,0.5387,102
2.5,1173,-200,7.5,878,738,129,1002,1355,5.9,50.0,0.4689,300
1.9,968,-200,9.0,938,790,161,897,836,9.7,18.6,0.2244,311
-200,1135,-200,11.4,1030,662,-200,1789,1104,31.7,36.7,1.6843,-200
5.6,1747,899,32.5,1608,557,161,2335,1983,23.1,36.7,1.0244,281
4.9,1514,-200,21.3,1334,489,134,1755,1614,14.0,74.6,1.1865,703
5,1535,-200,26.1,1458,568,159,2120,1735,21.1,40.2,0.9970,269
1.8,951,-200,8.2,908,873,94,1314,904,19.7,40.2,0.9108,275
-200,823,-200,2.1,590,1125,-200,1241,624,15.8,77.6,1.3792,-200
-200,947,-200,3.6,689,1009,-200,1454,640,20.6,78.8,1.8885,-200
1.9,975,-200,5.5,787,1812,96,1238,844,11.7,77.8,1.0689,223
0.8,746,-200,3.5,684,1301,81,764,484,13.2,18.8,0.2837,149
3.1,-200,-200,-200.0,-200,-200,171,-200,-200,-200,-200,-200,480
3,1326,468,18.9,1265,757,136,1835,1246,29.2,21.5,0.8573,160
5.1,1467,-200,31.0,1575,472,145,2460,1873,24.9,43.3,1.3422,369
-200,1488,-200,34.5,1653,388,-200,2537,1782,23.7,54.0,1.5627,-200
1.5,988,-200,6.6,839,805,88,1382,937,20.1,60.8,1.4152,177
1.3,944,-200,7.0,857,880,77,1463,631,35.2,22.3,1.2467,67
1.7,1162,-200,11.1,1019,622,51,1904,1178,27.9,56.5,2.0895,97
2.2,1205,-200,10.3,989,643,235,1084,1597,11.5,33.0,0.4476,551
-200,1069,-200,7.2,865,825,-200,1394,816,14.1,83.8,1.3460,-200
2.7,1214,-200,15.1,1151,683,117,1938,1309,27.2,42.5,1.5069,144
-200,1201,-200,13.6,1102,814,-200,1682,1175,28.1,24.4,0.9138,-200
-200,1196,-200,6.9,853,909,-200,1556,769,15.8,58.8,1.0464,-200
1.8,1077,-200,9.6,964,749,93,1571,923,22.9,62.0,1.7127,163
1.7,1201,-200,7.6,882,638,102,1189,948,17.6,34.1,0.6781,198
-200,938,-200,11.3,1025,829,94,1517,753,35.4,15.3,0.8649,93
0.7,848,-200,1.7,560,1206,44,1045,644,8.9,77.1,0.8804,62
0.4,778,-200,0.3,417,1531,26,745,312,4.1,45.9,0.3804,27
-200,828,-200,1.0,501,1281,-200,1189,385,23.9,47.4,1.3881,-200
-200,786,-200,2.0,587,1150,-200,1300,413,25.3,44.3,1.4032,-200
1.4,960,-200,6.6,838,797,97,1189,996,9.2,73.9,0.8616,219
1.8,1170,-200,4.9,756,713,126,1341,793,14.4,80.8,1.3182,299
0.9,972,-200,3.8,699,982,38,1505,495,37.3,28.8,1.8087,37
1.2,1030,-200,6.9,851,824,68,1700,983,21.9,57.0,1.4742,102
-200,926,36,2.8,638,1195,52,1342,749,11.2,65.9,0.8775,37
1,-200,87,-200.0,-200,-200,79,-200,-200,-200,-200,-200,97
2.0,1186,-200,8.5,921,660,138,1310,1040,16.3,51.5,0.9462,295
-200,1255,-200,14.6,1136,611,-200,1675,1183,28.5,37.3,1.4329,-200
2.6,1349,251,13.4,1097,707,100,1763,1442,16.1,57.4,1.0451,148
-200,886,-200,2.6,627,1082,-200,1405,694,21.4,74.0,1.8683,-200
0.7,827,-200,2.7,636,1485,59,980,483,13.7,45.0,0.6991,88
1,929,-200,5.6,791,841,41,1493,789,22.2,53.9,1.4201,59
2.1,934,-200,11.7,1041,865,136,1496,936,32.3,16.7,0.7946,203
0.6,812,-200,2.4,613,1133,47,1302,626,23.0,54.0,1.5010,54
4.4,1312,-200,20.1,1299,580,135,2016,1380,23.9,58.9,1.7276,443
2.4,1153,-200,11.8,1042,733,136,1700,1022,23.2,43.2,1.2104,184
3.1,1574,-200,13.3,1093,497,180,1451,1808,9.4,77.7,0.9203,478
3.0,1146,-200,11.8,1043,639,204,1169,1248,8.1,41.0,0.4458,386
1.7,1013,-200,5.6,795,826,81,1257,848,13.0,69.7,1.0403,209
0.1,771,-200,2.6,626,1502,41,1210,430,29.1,19.6,0.7771,34
2.4,1253,-200,9.7,966,560,162,1378,1251,14.5,57.0,0.9333,343
1.1,901,-200,3.1,661,1022,71,1124,714,13.3,65.3,0.9948,150
1.5,1059,-200,5.2,773,767,157,1127,984,5.1,83.5,0.7416,233
-200,804,-200,2.0,585,1301,-200,1319,717,11.3,67.6,0.9038,-200
-200,-200,-200,-200.0,-200,-200,-200,-200,-200,-200,-200,-200,-200
-200,1209,-200,16.1,1182,546,-200,1911,1255,27.7,46.1,1.6852,-200
0.1,761,-200,1.4,540,1269,-200,1303,486,22.7,42.3,1.1491,-200
2.5,1145,-200,13.8,1112,621,109,1481,1331,20.3,47.5,1.1187,323
-200,1025,-200,8.4,914,856,-200,1605,1003,12.3,68.0,0.9722,-200
-200,990,-200,9.1,942,776,-200,1359,986,20.4,42.2,0.9964,-200
8.7,1882,-200,47.5,1920,328,171,2609,2204,23.1,61.1,1.7082,1014
0.7,977,-200,2.6,629,908,78,1129,835,12.3,68.0,0.9734,106
3.2,1065,-200,17.0,1211,669,156,1364,1188,13.0,39.3,0.5877,514
5.1,1519,-200,26.3,1461,370,140,2005,1648,14.4,65.8,1.0727,623
0.6,945,-200,1.8,569,1140,90,1135,632,10.5,81.8,1.0416,136
0.3,-200,-200,-200.0,-200,-200,-200,-200,-200,-200,-200,-200,-200
1.6,1102,-200,6.0,813,764,123,1204,1000,14.1,59.6,0.9563,213
2.9,1111,-200,14.3,1126,754,124,1883,1076,27.3,37.5,1.3420,160
-200,1283,-200,13.9,1112,719,-200,1583,1071,29.3,32.6,1.3105,-200
1.5,997,-200,6.3,825,790,139,948,852,9.6,31.3,0.3763,226
2.5,1192,254,10.8,1007,827,124,1604,1223,16.8,44.0,0.8341,154
1.7,1022,-200,6.9,854,771,187,941,926,10.5,27.8,0.3525,285
4.1,1428,-200,27.9,1500,496,141,2275,2021,26.9,34.4,1.2036,358
