CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,NOx
1.5,1039,210.789238,6.9,855,783,140,1025,1210,3.4,58.5,0.4608,341
2.172036,1043,210.789238,12.1,1053,707,113.608264,1514,959,20.5,46.0,1.1000,254.681129
4.2,1467,210.789238,23.3,1385,623,130,2084,1493,24.9,39.4,1.2268,192
1.9,1010,210.789238,10.8,1006,779,100,1589,1000,24.5,35.7,1.0807,102
1.1,893,210.789238,6.3,828,988,81,1357,672,23.2,42.8,1.2017,169
1.3,920,210.789238,7.4,875,915,80,1594,744,20.9,48.9,1.1945,75
1.0,895,210.789238,2.6,624,1002,96,787,387,14.8,23.7,0.3945,122
4.4,1297,210.789238,24.2,1408,595,166,2134,1473,30.2,29.0,1.2224,294
1.9,1084,210.789238,10.3,990,734,116,1633,1284,25.0,38.3,1.1980,148
2.172036,951,210.789238,6.5,835,788,113.608264,1354,887,14.1,76.7,1.2273,254.681129
0.7,1064,210.789238,12.6,1072,704,175,1103,1220,11.3,25.7,0.3422,444
2.4,1209,210.789238,15.5,1163,762,108,1606,1300,21.4,45.8,1.1515,430
0.3,697,210.789238,0.6,455,1726,113.608264,698,318,5.6,37.6,0.3448,254.681129
2.1,1117,210.789238,7.5,876,706,123,1264,1057,12.4,64.7,0.9266,300
1.4,946,210.789238,8.8,931,917,69,1745,884,18.2,62.3,1.2903,126
0.3,678,210.789238,0.4,427,1771,20,853,286,9.5,52.2,0.6198,24
2.2,1056,210.789238,13.0,1083,865,113.608264,1723,898,37.8,17.4,1.1219,254.681129
3.8,1097.930233,210.789238,-200.0,934.059034,838.841682,223,1447.214669,1019.471377,18.145841,49.195886,1.019597,349
1.6,1039,210.789238,6.7,845,775,142,993,1268,3.4,60.9,0.4809,300
2,1122,210.789238,9.3,951,687,95,1729,1022,31.2,41.9,1.8710,126
3.5,1239,210.789238,14.4,1129,637,106,1839,1308,28.9,39.1,1.5370,121
0.6,869,210.789238,6.5,835,1078,76,1437,807,19.2,42.0,0.9248,61
2.172036,973,210.789238,5.0,764,914,113.608264,1373,619,38.1,19.7,1.2928,254.681129
2.172036,925,210.789238,5.8,800,908,113.608264,1272,750,14.3,58.1,0.9404,254.681129
1.8,1037,210.789238,10.4,993,779,104,1680,1158,19.7,44.1,1.0039,168
2.1,1315,210.789238,11.7,1041,773,101,1767,966,28.9,29.3,1.1503,115
2.172036,851,210.789238,4.3,726,897,42,1277,799,15.0,77.9,1.3197,124
2.172036,1194,210.789238,13.0,1083,685,139,1632,1060,38.9,18.0,1.2318,128
2.5,1248,210.789238,12.6,1072,713,114,1797,1188,17.1,64.0,1.2413,183
5.4,1484,210.789238,20.8,1319,591,132,2166,1413,16.1,75.2,1.3654,264
0.5,862,210.789238,1.4,535,1193,67,1020,524,12.5,57.3,0.8269,93
1.5,1047,210.789238,6.9,854,753,158,959,904,12.7,27.4,0.4011,238
1.6,857,210.789238,4.8,753,1034,116,860,754,12.4,24.0,0.3443,261
0.7,818,210.789238,4.3,726,921,43,1330,685,19.6,56.1,1.2651,38
0.7,804,210.789238,2.6,630,1188,120,806,712,4.9,40.6,0.3539,236
2.172036,1088,210.789238,6.6,839,760,113.608264,1236,951,9.7,73.1,0.8772,254.681129
2.4,1097.930233,210.789238,-200.0,934.059034,838.841682,68,1447.214669,1019.471377,18.145841,49.195886,1.019597,201
1,858,210.789238,5.3,776,947,56,1431,498,38.1,21.1,1.3863,43
-200.0,884,210.789238,1.3,528,1148,86,960,619,2.9,85.3,0.6503,96
1.0,887,210.789238,3.0,649,1009,104,854,588,6.6,40.2,0.3944,166
0.8,1016,210.789238,2.9,647,824,85,1090,937,8.4,74.5,0.8241,117
2.172036,924,210.789238,5.1,766,902,113.608264,1357,752,18.6,60.4,1.2817,254.681129
3.6,1351,210.789238,17.5,1226,648,122,1649,1248,13.0,76.0,1.1317,420
0.8,898,69,3.3,669,1163,52,1386,807,10.8,70.3,0.9092,46
2.9,1251,210.789238,13.4,1097,771,143,1680,1280,22.2,34.4,0.9072,181
1.9,1264,210.789238,11.0,1016,624,76,1650,1062,28.9,44.3,1.7392,186
0.9,954,210.789238,5.5,790,826,113.608264,1564,1066,24.8,48.5,1.4953,254.681129
2.172036,1528,210.789238,25.8,1449,473,113.608264,2039,1756,20.4,61.2,1.4470,254.681129
2.3,997,210.789238,9.9,975,739,164,926,947,16.5,14.9,0.2775,377
3.5,1352,210.789238,14.0,1118,625,127,1524,1188,14.6,72.1,1.1947,438
2.3,1178,210.789238,7.4,873,700,137,1328,987,11.2,79.6,1.0587,316
1.6,987,210.789238,5.7,796,1789,86,1254,830,11.7,78.6,1.0813,180
0.7,952,210.789238,4.6,742,892,57,1656,953,24.6,59.1,1.8013,49
2.172036,879,210.789238,3.5,681,992,113.608264,1312,703,14.8,81.9,1.3735,254.681129
1.7,1205,85,8.6,925,922,107,1547,1314,15.5,52.9,0.9271,132
5.2,1389,210.789238,26.3,1463,518,222,1694,1706,11.3,43.9,0.5867,1071
1.3,997,210.789238,3.4,677,1252,113.608264,1359,591,13.8,55.1,0.8666,254.681129
6.8,1713,210.789238,38.0,1728,390,140,2386,1919,24.4,56.0,1.6885,715
3,1199,210.789238,13.7,1108,818,123,1450,1250,19.2,47.1,1.0371,423
0.5,842,210.789238,0.6,454,1433,32,788,292,5.8,59.4,0.5502,33
2.172036,847,210.789238,1.3,527,1416,113.608264,1216,682,10.5,61.3,0.7761,254.681129
1.5,1016,210.789238,7.9,896,766,93,1704,820,33.4,35.1,1.7810,91
1.0,892,210.789238,2.4,614,986,95,843,408,20.5,21.9,0.5215,137
3,1346,210.789238,18.2,1246,639,138,1907,1458,32.6,34.8,1.6872,353
2.172036,1081,210.789238,10.6,1000,900,113.608264,1561,900,25.9,26.7,0.8771,254.681129
2.2,1197,210.789238,10.3,989,577,161,1297,1087,21.0,30.6,0.7508,357
3.0,1003,210.789238,5.2,772,821,142,1008,788,6.8,58.0,0.5758,234
3.7,1221,210.789238,23.3,1386,626,109,2138,1412,23.3,38.6,1.0919,232
2.5,1149,210.789238,14.5,1132,688,124,1936,1233,30.2,37.6,1.5870,137
0.4,810,210.789238,1.5,544,1264,113.608264,1485,447,26.0,62.7,2.0737,254.681129
5.0,1446,210.789238,22.4,1362,415,174,1777,1705,13.5,48.9,0.7553,586
1,953,210.789238,6.7,844,848,113.608264,1685,995,23.2,53.7,1.5046,254.681129
1.2,976,210.789238,8.4,916,1044,117,1515,880,22.3,33.6,0.8913,117
0.5,817,210.789238,3.0,651,1109,56,1472,628,21.7,52.6,1.3500,41
0.2,735,210.789238,0.3,407,1677,33,579,232,-0.6,40.1,0.2404,37
2.172036,1565,210.789238,29.9,1549,540,113.608264,2396,1645,12.3,69.2,0.9906,254.681129
3.7,1385,210.789238,18.7,1260,528,129,1850,1425,22.3,64.3,1.7055,493
2.172036,974,210.789238,9.5,958,783,94,1528,908,27.6,27.4,0.9926,74
2.9,1383,150,11.2,1020,1008,135,1719,1104,9.8,67.6,0.8185,243
0.4,667,210.789238,0.6,455,1716,44,786,301,11.4,32.9,0.4435,65
1.5,1097.930233,210.789238,-200.0,934.059034,838.841682,75,1447.214669,1019.471377,18.145841,49.195886,1.019597,65
2.1,926,210.789238,7.6,882,744,111,913,700,11.8,36.2,0.4999,142
2.172036,1048,210.789238,7.8,891,791,113.608264,1654,992,20.1,77.4,1.8020,254.681129
2.7,1381,210.789238,11.9,1045,541,221,1307,1706,7.8,58.0,0.6136,496
2.172036,1009,210.789238,8.2,907,982,113.608264,1466,872,19.3,38.8,0.8559,254.681129
0.8,951,210.789238,2.0,583,905,63,1212,624,13.9,79.6,1.2616,89
2.172036,948,210.789238,6.9,853,859,113.608264,1283,839,17.4,47.6,0.9387,254.681129
2.1,1145,210.789238,9.2,946,699,182,1015,1409,6.6,37.5,0.3664,366
2.4,1199,210.789238,14.2,1124,680,132,1940,1054,36.6,27.1,1.6352,159
2.6,951,210.789238,9.4,953,812,157,1022,1055,7.4,36.5,0.3778,460
3.6,1473,210.789238,21.2,1330,497,129,1908,1677,23.2,56.6,1.5929,619
3.1,1192,210.789238,16.5,1196,581,204,1222,1450,13.2,23.9,0.3597,508
1.2,970,210.789238,4.0,710,833,100,1094,535,24.0,30.3,0.8925,150
1.8,1082,210.789238,8.3,910,629,125,1301,875,25.6,28.5,0.9199,225
5.7,1578,210.789238,29.0,1527,419,179,1761,2086,7.9,60.0,0.6406,875
3.4,1272,210.789238,15.7,1170,620,160,1957,1347,32.8,33.4,1.6330,215
4.8,1522,210.789238,28.2,1509,543,126,2275,1828,18.2,46.2,0.9575,303
0.9,1062,210.789238,5.1,770,780,48,1450,922,21.3,63.9,1.5951,96
0.8,869,210.789238,4.2,723,975,45,1522,789,23.2,52.3,1.4668,34
2.172036,1324,210.789238,9.0,939,846,113.608264,1658,1011,21.5,40.7,1.0301,254.681129
1.6,1087,196,7.4,876,911,96,1554,737,16.1,53.1,0.9675,112
2.1,1032,210.789238,11.7,1039,761,118,1455,1071,24.8,33.7,1.0377,231
3.8,1437,210.789238,16.7,1202,507,197,1510,1459,5.6,80.4,0.7382,660
0.9,883,210.789238,3.9,705,1133,65,1422,655,15.4,58.8,1.0215,51
1.6,1045,138,7.0,857,968,93,1410,922,15.3,41.5,0.7194,92
1.4,1057,210.789238,7.8,890,778,57,1701,801,31.4,40.7,1.8377,72
3.2,1219,210.789238,15.5,1163,642,121,1963,1410,28.3,39.8,1.5053,232
2.3,1045,210.789238,9.5,960,1376,118,1259,972,14.6,48.0,0.7902,301
3.3,1148,210.789238,13.6,1104,723,138,1713,1301,21.0,37.9,0.9313,258
0.9,948,93,4.0,710,1127,67,1352,575,15.7,45.9,0.8121,56
3.2,1285,210.789238,18.4,1252,581,134,1866,1293,26.6,44.3,1.5229,364
0.5,847,210.789238,2.5,620,1085,58,1339,670,22.9,57.5,1.5879,84
1.4,1065,210.789238,9.1,942,890,68,1576,1067,16.0,47.4,0.8564,106
1.7,1099,210.789238,11.0,1015,763,117,1732,839,38.8,20.7,1.4036,125
2.172036,1359,210.789238,16.5,1195,542,113.608264,1784,1376,26.8,44.6,1.5467,254.681129
2.4,1323,210.789238,12.0,1049,550,207,1290,1619,7.1,59.3,0.6005,433
2.172036,924,210.789238,6.0,814,830,113.608264,1519,798,25.2,47.4,1.4978,254.681129
0.7,956,26,2.3,605,1341,71,1117,691,12.9,33.9,0.5037,52
1.7,1027,210.789238,8.8,933,806,85,1465,1050,22.2,48.0,1.2678,224
3.0,1054,210.789238,6.1,818,777,150,966,1210,7.3,43.8,0.4505,289
3.1,1097.930233,210.789238,-200.0,934.059034,838.841682,162,1447.214669,1019.471377,18.145841,49.195886,1.019597,482
2.8,1273,210.789238,13.4,1096,553,222,1350,1379,12.8,49.3,0.7277,582
2.172036,822,210.789238,1.8,569,1204,22,1396,429,25.6,46.8,1.5111,14
1.2,891,210.789238,4.5,740,919,124,788,502,10.0,25.2,0.3079,177
1.9,1180,210.789238,7.5,877,680,128,1297,1131,14.0,60.4,0.9622,242
2.172036,1118,210.789238,9.3,951,675,113.608264,1509,1124,19.4,70.1,1.5626,254.681129
6.3,1738,210.789238,38.3,1735,365,240,1917,2434,8.9,53.4,0.6117,1301
1.0,893,210.789238,2.6,629,1015,111,837,456,2.7,50.5,0.3804,212
2.1,1014,210.789238,10.9,1012,795,125,1548,851,34.4,19.9,1.0647,156
1.8,1239,66,7.4,872,985,99,1547,1250,14.8,54.7,0.9164,104
3.2,1172,210.789238,13.7,1107,629,186,1449,1106,12.2,75.7,1.0693,552
0.7,968,210.789238,2.8,639,891,113.608264,1080,794,8.4,67.1,0.7411,254.681129
2.172036,1204,210.789238,16.5,1196,552,113.608264,1884,1250,31.5,32.6,1.4780,254.681129
2.4,1238,210.789238,10.6,999,833,118,1648,1013,23.7,39.4,1.1381,129
4.4,1326,210.789238,17.4,1223,547,190,1381,1613,8.3,50.5,0.5558,854
1.6,992,210.789238,9.2,948,773,95,1609,1271,26.3,33.7,1.1377,106
1,860,210.789238,4.7,748,955,50,1344,532,34.3,22.5,1.1974,39
0.7,896,210.789238,3.7,694,941,46,1583,853,23.2,68.0,1.9045,58
2.172036,1120,210.789238,8.0,900,811,113.608264,1462,1111,23.6,50.4,1.4470,254.681129
0.3,834,210.789238,1.3,527,1242,17,1458,427,22.5,69.1,1.8578,10
1.7,1011,210.789238,5.4,782,846,113,992,1019,6.8,48.6,0.4822,225
2,1120,210.789238,8.8,932,897,105,1301,1039,14.6,65.9,1.0880,238
2.172036,990,210.789238,7.2,865,764,113.608264,1130,902,10.8,47.3,0.6122,254.681129
2.172036,1224,210.789238,7.8,892,884,113.608264,1580,923,16.7,56.5,1.0634,254.681129
9.2,1778,210.789238,48.2,1935,349,119,2643,1927,20.9,67.5,1.6539,859
3.7,1316,210.789238,20.0,1298,562,172,1888,1584,26.8,42.7,1.4864,510
2.172036,1078,210.789238,10.9,1012,777,129,1523,868,41.4,13.8,1.0786,115
1.3,903,210.789238,6.9,853,930,69,1420,606,38.8,15.8,1.0706,72
1.1,933,210.789238,5.8,803,842,69,1369,898,17.6,69.9,1.3969,159
0.8,890,63,3.3,672,1183,113.608264,1338,781,7.6,80.6,0.8437,254.681129
1.0,1053,210.789238,2.9,648,808,94,1109,709,12.3,65.8,0.9374,125
1.4,1083,210.789238,7.8,889,725,56,1734,918,27.6,52.1,1.8936,72
1.8,1045,210.789238,8.3,910,948,95,1598,624,23.7,37.2,1.0746,89
2.172036,1084,210.789238,10.1,980,679,113.608264,1653,923,31.6,34.7,1.5890,254.681129
2.4,997,210.789238,13.5,1100,896,106,1392,987,22.6,17.2,0.4656,157
2.1,1156,220,10.9,1009,875,118,1583,1204,23.8,30.2,0.8771,145
1.3,985,210.789238,6.3,826,808,71,1544,621,35.3,28.5,1.6034,66
0.5,872,210.789238,4.3,725,976,56,1471,668,21.1,53.2,1.3181,53
3.5,1411,210.789238,22.8,1371,500,235,1484,1919,8.5,49.6,0.5517,1058
1.6,904,210.789238,7.6,882,1048,94,1549,744,22.5,37.8,1.0157,127
3.3,1284,210.789238,15.0,1149,780,149,1725,1304,21.7,31.8,0.8191,234
0.7,807,210.789238,2.3,606,1340,54,1337,440,19.8,45.7,1.0424,45
4.3,1522,368,21.3,1331,703,134,2026,1734,17.7,40.1,0.8048,280
1.3,1009,210.789238,7.0,859,944,102,1420,1016,16.0,38.1,0.6879,132
2.172036,797,210.789238,2.6,624,1074,33,1276,546,25.7,30.9,1.0048,18
1.5,933,210.789238,9.6,962,867,76,1705,974,17.3,57.6,1.1289,167
2.172036,1087,210.789238,12.7,1075,944,113.608264,1558,886,27.3,20.5,0.7308,254.681129
1.6,1069,210.789238,7.2,867,785,65,1717,880,33.2,39.2,1.9642,92
3.2,1330,210.789238,18.9,1264,586,146,1860,1362,31.5,34.9,1.5903,323
2.172036,1130,210.789238,22.7,1368,933,113.608264,1709,1269,26.7,19.5,0.6754,254.681129
2.7,1103,210.789238,14.8,1143,741,116,1647,1089,23.2,43.3,1.2161,310
2.172036,855,210.789238,2.7,631,1033,113.608264,932,626,10.2,45.4,0.5632,254.681129
1.6,1173,84,7.5,878,1038,84,1556,1052,9.9,65.2,0.7956,160
0.5,827,210.789238,3.1,656,1075,60,1447,722,24.0,46.4,1.3689,55
5,1346,210.789238,27.1,1481,602,174,2367,1681,23.9,44.4,1.3029,441
3.2,1133,210.789238,19.4,1280,595,149,1791,1093,34.6,22.0,1.1890,341
8,1723,210.789238,44.9,1869,359,121,2563,1919,21.8,65.3,1.6889,737
2.172036,1126,210.789238,6.4,830,853,113.608264,1528,938,27.9,43.4,1.6017,254.681129
2.172036,1300,210.789238,20.0,1296,489,113.608264,1989,1639,26.7,45.7,1.5747,254.681129
1,771,210.789238,2.8,642,1678,97,915,518,10.0,41.4,0.5102,180
0.4,872,210.789238,1.7,564,1284,113.608264,1385,494,15.6,65.3,1.1484,254.681129
2.3,1113,210.789238,13.1,1086,882,119,1584,926,28.1,21.9,0.8184,138
