CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,NOx
-200,1101,-200,6.9,852,913,-200,1655,992,14.0,70.9,1.1306,-200
0.8,915,27,1.9,578,1417,48,1212,665,8.2,58.9,0.6444,32
2.9,1438,200,15.4,1161,819,135,1782,1595,21.1,33.4,0.8265,221
0.5,779,-200,1.0,500,1361,84,652,313,-0.6,41.4,0.2478,134
1.2,1046,65,4.5,736,1142,78,1312,838,8.1,62.1,0.6746,75
1.1,869,-200,3.8,702,1019,103,891,842,11.9,32.4,0.4489,159
0.6,889,-200,4.9,760,1224,81,1213,806,20.3,35.5,0.8342,143
0.6,810,-200,3.8,702,1093,24,1529,612,21.3,54.9,1.3707,15
3.2,1024,-200,14.3,1127,704,84,1346,943,14.8,37.5,0.6259,189
-200,1364,-200,21.1,1328,528,-200,1898,1395,28.9,36.3,1.4291,-200
2.6,1029,-200,13.6,1105,737,128,1666,1195,26.0,28.5,0.9484,203
1.5,1014,-200,8.7,927,747,56,1497,951,16.1,76.3,1.3902,309
2.4,976,-200,9.3,952,878,114,1582,834,18.6,42.8,0.9091,174
3.7,1451,-200,18.8,1264,497,181,1408,1965,9.5,47.2,0.5589,683
-200,1340,-200,21.0,1324,537,-200,1907,1412,19.3,59.6,1.3195,-200
2.7,-200,-200,-200.0,-200,-200,245,-200,-200,-200,-200,-200,424
2.6,1391,350,14.6,1136,738,105,1840,1296,27.2,32.4,1.1493,134
1.1,1024,-200,4.0,709,798,109,1120,884,9.8,61.2,0.7413,142
-200,895,-200,3.1,656,946,51,1343,786,17.0,81.0,1.5521,80
0.5,891,18,1.9,576,1417,53,1289,733,11.9,57.4,0.7978,46
1.1,862,-200,4.3,729,1103,64,1171,603,18.2,41.9,0.8674,173
1.4,898,-200,4.6,741,1085,76,1468,589,12.5,75.8,1.0938,79
0.7,852,-200,4.0,713,1029,53,1203,749,15.2,58.3,0.9986,92
0.3,850,-200,3.1,659,1077,38,1402,557,23.5,44.0,1.2596,32
1.3,988,-200,6.3,825,756,71,1559,848,24.9,50.6,1.5747,71
1,844,-200,3.5,680,1147,61,1129,518,22.0,32.2,0.8407,122
1,882,44,2.5,621,1346,56,1216,403,16.6,38.6,0.7236,61
-200,1087,-200,9.3,950,684,-200,1519,1049,18.4,74.5,1.5634,-200
2.3,1228,-200,9.3,952,668,81,1622,1110,24.5,58.8,1.7838,301
0.9,1042,-200,3.8,701,795,114,945,1216,1.8,68.9,0.4878,208
7.3,-200,-200,-200.0,-200,-200,214,-200,-200,-200,-200,-200,1137
1.6,1086,-200,10.1,981,688,86,1818,1007,27.0,57.5,2.0183,100
1.8,1013,-200,10.6,999,791,105,1751,1119,24.0,47.3,1.3914,120
3.2,1476,-200,17.3,1219,459,141,1673,1561,13.5,63.9,0.9875,487
2,1042,-200,6.5,834,808,106,1267,914,12.4,77.5,1.1115,304
1.9,1153,-200,7.5,878,682,139,1180,1173,3.1,77.3,0.5985,409
1.8,1008,-200,9.4,954,892,92,1626,834,15.6,58.3,1.0266,92
0.4,768,-200,2.2,597,1155,40,1396,606,21.7,46.8,1.2031,30
-200,872,-200,4.0,710,956,-200,1377,493,31.9,28.2,1.3116,-200
2,886,-200,8.4,917,908,148,901,1023,10.2,23.8,0.2955,398
1.5,1102,-200,6.0,812,693,158,1178,1042,16.4,46.6,0.8642,235
0.4,790,-200,0.4,431,1439,49,722,354,2.8,43.8,0.3308,53
1.6,1028,-200,8.9,934,818,88,1743,987,20.1,57.0,1.3216,141
5.3,1545,-200,24.0,1403,407,223,1743,1821,16.7,42.5,0.8002,571
1.1,955,-200,4.3,725,890,138,880,770,9.1,34.5,0.3994,205
-200,914,-200,11.0,1014,988,-200,1597,775,29.1,22.3,0.8811,-200
0.8,889,21,1.9,574,1680,-200,1187,512,7.0,62.3,0.6261,-200
3.2,1474,230,15.8,1173,854,143,1776,1432,20.4,36.7,0.8704,166
4.5,1302,-200,21.8,1346,706,164,1880,1698,24.6,25.1,0.7636,230
-200,806,-200,1.8,567,1163,-200,878,490,9.4,45.4,0.5355,-200
2.9,1221,-200,17.7,1230,670,163,1905,1157,39.1,19.6,1.3542,188
1.2,938,-200,2.8,639,1020,83,1059,777,9.7,70.9,0.8539,104
5.2,1362,-200,22.8,1373,755,159,1698,1461,11.9,62.3,0.8674,600
-200,788,-200,2.4,614,1116,-200,1177,625,14.8,64.7,1.0788,-200
2.6,1226,-200,14.6,1138,862,146,1481,1419,25.1,32.3,1.0131,307
0.8,845,-200,1.4,534,1146,-200,781,519,3.5,48.0,0.3822,-200
0.3,647,-200,0.3,412,1964,29,779,274,10.6,36.1,0.4624,39
-200,1076,-200,10.1,982,799,123,1523,748,40.5,14.9,1.1110,96
6.2,1616,-200,32.6,1610,374,227,1909,2021,21.0,29.2,0.7192,796
-200,868,-200,3.0,652,962,-200,1526,740,27.0,51.8,1.8147,-200
-200,1193,-200,11.2,1021,666,-200,1633,1152,22.1,61.1,1.6012,-200
1.9,1134,-200,8.3,912,707,182,999,1376,6.3,40.1,0.3842,336
-200,1113,-200,9.4,954,682,99,1801,899,21.6,78.5,1.9940,117
2.2,1294,208,13.0,1083,770,108,1687,1321,19.2,44.9,0.9875,121
1.0,907,-200,2.4,614,1052,120,782,627,5.1,37.9,0.3358,150
1.6,928,-200,5.5,790,812,154,951,609,17.1,25.3,0.4881,231
3.7,1407,-200,19.4,1279,660,120,2009,1308,23.5,43.7,1.2484,163
0.9,979,-200,2.2,602,925,103,993,928,4.0,75.2,0.6161,147
1.3,1041,-200,4.3,729,819,98,1130,972,10.0,70.9,0.8706,164
0.3,881,-200,2.6,624,1135,47,1319,656,16.4,50.2,0.9310,38
5.6,1458,-200,14.2,1123,540,164,1395,2030,9.6,65.9,0.7869,527
3.4,1386,-200,17.6,1228,479,152,1546,1578,13.4,59.7,0.9142,531
4.4,1587,202,17.9,1236,897,141,1900,1400,7.3,63.1,0.6499,307
0.2,1023,-200,3.3,672,819,118,1069,595,12.4,53.4,0.7669,184
0.6,710,-200,1.2,523,1479,62,827,350,12.4,31.3,0.4500,112
-200,815,-200,1.8,569,1361,-200,1344,534,14.4,60.1,0.9797,-200
5.5,1605,-200,23.7,1397,420,189,1891,1710,18.8,58.3,1.2514,604
0.4,762,-200,1.7,563,1181,21,1208,492,21.7,42.6,1.0907,12
3.1,1286,454,15.7,1171,716,102,1821,1006,15.0,52.0,0.8817,153
4.6,1707,-200,23.0,1378,416,248,1637,2225,11.0,53.6,0.7033,851
2.7,1202,-200,12.1,1055,534,158,1458,1293,18.6,49.5,1.0520,433
0.6,814,-200,1.9,574,1613,58,965,461,11.9,54.6,0.7589,92
1.1,812,-200,3.0,652,1586,106,964,554,9.1,49.6,0.5765,210
0.6,843,-200,3.1,656,1042,50,1271,665,22.1,49.8,1.3094,55
-200,941,-200,3.6,686,942,38,1406,549,22.8,64.0,1.7507,50
3,1269,-200,19.0,1269,633,174,1942,1221,39.3,18.9,1.3251,173
0.3,830,-200,2.0,582,1310,50,1264,608,20.0,34.5,0.7954,30
1.4,981,107,6.0,810,1060,77,1395,605,20.7,31.6,0.7602,86
2.6,1059,-200,4.7,747,820,133,964,1133,6.6,51.2,0.5007,204
0.6,864,21,1.2,516,1496,59,1153,502,11.3,46.9,0.6280,39
-200,1081,-200,14.0,1117,689,127,1668,828,35.7,19.8,1.1399,102
2.7,1148,-200,11.3,1025,701,128,1165,1282,14.4,35.3,0.5763,395
-200,1035,-200,7.0,855,731,51,1467,952,18.7,73.8,1.5704,142
0.5,976,-200,6.0,814,855,77,1448,1018,28.0,30.6,1.1396,66
-200,1005,-200,7.9,894,956,-200,1530,714,23.8,31.4,0.9132,-200
2.2,999,-200,5.1,771,864,127,1068,995,8.8,63.8,0.7236,235
0.8,875,-200,4.2,721,1083,-200,1328,683,15.9,44.7,0.8009,-200
2.2,1085,-200,5.7,800,750,200,983,1219,3.1,57.2,0.4402,346
-200,1215,-200,6.7,843,929,-200,1551,862,15.9,59.2,1.0635,-200
2.9,1103,-200,10.5,997,736,109,1552,914,15.6,75.7,1.3345,293
-200,1111,-200,10.4,993,662,-200,1287,1058,13.0,53.9,0.8029,-200
0.9,863,-200,2.4,610,1088,68,1086,696,13.1,62.4,0.9366,130
-200,1040,-200,11.2,1022,713,-200,1624,998,27.3,36.8,1.3189,-200
4.1,1515,-200,20.1,1298,434,138,1706,1669,8.9,76.5,0.8767,822
0.7,859,-200,3.7,693,988,43,1377,710,25.3,39.7,1.2656,24
0.6,861,-200,4.3,729,1043,62,1528,689,23.8,47.3,1.3783,39
0.9,840,-200,4.2,722,1048,54,1169,507,22.1,30.5,0.7981,98
2.3,1022,-200,15.2,1155,871,113,1840,979,34.3,19.4,1.0279,172
3.5,1465,-200,18.1,1241,434,132,1572,1774,17.9,42.2,0.8557,591
3.4,1193,-200,16.5,1196,675,149,1888,1152,30.9,30.4,1.3380,195
0.4,872,-200,2.6,627,997,30,1530,670,23.3,62.0,1.7547,24
2.1,1023,-200,11.8,1042,796,101,1711,910,35.4,19.9,1.1222,132
-200,-200,-200,-200.0,-200,-200,-200,-200,-200,-200,-200,-200,-200
2.3,1118,-200,13.0,1082,694,127,1792,1080,22.7,47.7,1.2977,161
-200,1530,-200,24.8,1425,457,143,1975,1652,26.6,45.5,1.5555,595
-200,1165,-200,8.4,916,711,-200,1517,1093,25.7,46.6,1.5105,-200
1.4,1027,-200,4.8,751,798,135,936,1171,6.8,44.9,0.4472,221
3.7,1321,-200,17.5,1224,543,192,1617,1424,20.3,46.7,1.0971,537
2.1,1004,-200,10.7,1004,832,88,1490,911,23.4,40.4,1.1500,257
3.4,1440,-200,19.9,1294,506,137,1879,1616,23.8,54.7,1.5870,522
3.2,1423,394,18.3,1247,706,142,1887,1684,23.7,31.0,0.8968,245
-200,995,-200,5.7,800,896,-200,1501,615,34.6,28.3,1.5338,-200
2.8,1098,-200,7.0,859,792,118,1211,1006,8.2,78.4,0.8561,362
3.7,1361,-200,17.4,1223,525,182,1454,1648,8.7,66.3,0.7491,640
2.3,1140,-200,14.4,1129,765,94,1728,1023,23.8,31.7,0.9212,132
2.5,1254,-200,9.9,973,543,156,1403,1328,13.4,62.0,0.9498,371
4.3,1205,-200,17.4,1222,684,133,1911,1127,12.7,70.4,1.0294,222
0.6,875,-200,1.5,548,1165,-200,1049,525,11.5,67.4,0.9106,-200
-200,881,-200,3.3,670,979,-200,978,697,10.5,46.9,0.5956,-200
0.5,853,-200,4.1,716,994,51,1423,647,22.0,45.8,1.1965,37
-200,808,-200,1.4,539,1206,-200,1383,427,28.5,48.7,1.8720,-200
0.4,813,-200,2.7,631,1327,65,1108,710,21.7,33.4,0.8545,91
-200,1059,-200,12.6,1070,925,-200,1401,976,32.6,9.2,0.4463,-200
1.8,1058,-200,10.7,1004,776,98,1684,947,28.8,32.8,1.2776,92
2.7,-200,-200,-200.0,-200,-200,-200,-200,-200,-200,-200,-200,-200
-200,1723,-200,44.7,1866,378,-200,2612,2006,24.3,49.6,1.4860,-200
1.8,926,-200,8.9,935,931,62,1262,786,20.1,30.3,0.7045,178
2.1,1102,-200,7.7,885,772,139,1051,1142,12.8,32.6,0.4814,313
1.5,982,-200,4.1,714,879,158,905,747,7.5,43.8,0.4551,203
-200,1029,-200,11.8,1042,756,130,1697,1062,30.5,29.9,1.2875,122
1.6,970,-200,7.4,873,859,114,1423,606,38.1,22.0,1.4402,88
2.6,1061,-200,15.4,1162,777,90,1898,1132,19.9,49.4,1.1354,220
0.8,910,-200,1.2,518,1130,59,936,404,5.7,70.3,0.6498,66
3.2,1225,-200,10.2,985,635,199,1255,1169,7.2,69.5,0.7084,464
4,1427,-200,19.2,1275,701,149,1980,1398,13.9,57.1,0.9032,253
3.4,1316,-200,20.7,1317,538,85,1860,1336,17.1,72.8,1.4054,607
3.2,1474,-200,19.0,1268,502,136,1677,1503,12.1,67.6,0.9500,583
-200,976,-200,8.2,907,867,101,1546,719,35.4,23.8,1.3443,86
0.8,949,25,1.4,540,1457,-200,1104,747,11.7,38.7,0.5298,-200
3.5,1243,-200,25.0,1429,687,161,2093,1367,26.0,34.6,1.1485,227
4.1,1469,-200,24.0,1403,452,134,1780,1665,8.8,73.2,0.8298,758
3,1371,212,14.6,1136,689,102,1927,1471,18.1,66.1,1.3579,174
2.1,1141,-200,11.1,1017,740,104,1690,1188,16.8,57.5,1.0912,112
1.4,-200,-200,-200.0,-200,-200,86,-200,-200,-200,-200,-200,68
7.2,1663,-200,32.0,1597,366,230,1906,2159,19.5,35.6,0.7978,874
1.0,841,-200,2.6,625,1054,112,846,687,9.0,39.5,0.4554,172
3.7,1317,-200,21.5,1338,593,198,2132,1362,37.1,26.9,1.6635,200
0.6,880,-200,3.4,677,1109,36,1500,554,26.2,43.6,1.4599,24
1.5,977,-200,9.9,973,865,94,1550,712,36.3,16.0,0.9465,99
1,918,-200,3.9,704,920,-200,1032,932,8.0,70.6,0.7607,-200
4.3,1409,-200,18.8,1262,434,146,1709,1566,15.3,63.3,1.0920,606
0.8,857,-200,3.9,705,982,44,1312,733,16.9,66.7,1.2772,105
4,1542,-200,15.4,1161,531,181,1435,1972,11.4,67.9,0.9119,464
0.5,797,-200,3.0,654,1097,51,1450,720,20.8,49.4,1.1994,38
5,1247,-200,14.8,1142,574,222,1547,1199,18.3,52.3,1.0922,469
1.6,982,-200,7.9,895,892,89,1413,859,24.3,39.5,1.1842,233
2.1,1108,-200,12.0,1049,749,142,1701,1137,32.8,25.2,1.2325,206
4.9,1410,-200,35.2,1669,393,117,2555,1644,23.2,54.0,1.5143,458
1.2,1100,27,2.9,646,1406,60,1268,835,7.2,67.5,0.6887,53
2,1021,-200,9.5,959,760,149,1297,910,7.9,73.5,0.7883,332
0.6,768,-200,3.3,671,1128,46,1153,700,13.6,57.6,0.8941,79
1,1062,-200,8.1,902,733,65,1715,1055,25.2,49.1,1.5546,69
2.3,1226,-200,12.9,1080,622,-200,1697,1188,34.8,27.1,1.4837,-200
2.1,1007,-200,11.4,1027,798,112,1737,904,23.1,41.5,1.1582,114
0.6,877,-200,3.1,658,964,37,1349,663,28.3,36.7,1.3878,25
0.1,749,-200,0.7,466,1803,29,1089,307,16.1,36.5,0.6640,23
0.5,787,-200,0.5,446,1395,-200,657,310,4.0,36.4,0.2989,-200
-200,1215,-200,12.4,1063,616,-200,1370,1214,12.4,59.3,0.8530,-200
4.3,1348,-200,21.8,1347,599,233,1903,1611,36.9,17.9,1.0960,348
0.7,865,-200,5.0,764,917,63,1430,826,21.3,46.5,1.1608,51
1.9,1180,-200,11.5,1031,633,124,1866,1067,28.4,50.7,1.9329,163
1.3,1042,-200,7.9,897,901,76,1605,681,35.2,22.6,1.2670,63
2.1,1107,-200,8.1,905,705,116,1288,966,12.9,62.4,0.9258,263
1.9,1006,-200,6.5,836,1226,113,1210,902,9.6,79.9,0.9579,245
-200,-200,-200,-200.0,-200,-200,-200,-200,-200,-200,-200,-200,-200
1.1,936,-200,6.8,849,798,56,1381,947,20.4,61.1,1.4495,127
1.8,1130,-200,5.8,803,772,127,1230,975,13.9,60.9,0.9644,267
2,1169,202,6.8,850,906,79,1584,873,15.6,73.5,1.2953,88
1.1,980,-200,5.6,793,858,43,1549,654,37.7,27.7,1.7780,32
3.2,1473,191,15.5,1163,831,148,1779,1395,16.1,41.0,0.7451,227
3.2,1314,-200,16.4,1191,564,135,1777,1395,23.5,58.3,1.6640,387
0.9,-200,-200,-200.0,-200,-200,-200,-200,-200,-200,-200,-200,-200
0.5,919,-200,1.6,552,1063,46,1080,522,13.2,64.2,0.9664,55
2.6,1167,-200,17.0,1210,719,144,1944,1152,39.7,18.7,1.3306,149
2.8,1490,-200,19.6,1286,593,97,2053,1447,16.6,55.9,1.0486,188
1.6,1027,-200,11.8,1041,1237,112,1345,915,32.3,13.3,0.6303,128
1.1,1002,-200,8.8,932,949,82,1405,917,15.2,31.0,0.5329,101
1.2,1123,-200,6.4,832,930,68,1565,792,21.2,48.3,1.2034,65
1,930,-200,5.1,768,916,74,1409,825,21.0,61.3,1.5031,98
-200,1449,-200,22.0,1350,571,-200,2264,1452,16.4,70.8,1.3088,-200
3.5,1455,-200,17.3,1218,535,107,1796,1387,26.2,51.7,1.7334,394
0.4,787,-200,0.3,415,1474,37,667,293,3.4,38.9,0.3075,39
0.8,805,-200,2.0,584,1137,119,726,385,3.7,38.8,0.3123,164
-200.0,873,-200,1.8,565,1097,83,793,494,3.1,44.8,0.3473,102
3.2,1443,-200,20.9,1322,488,101,1933,1539,27.0,51.0,1.7936,335
1.4,870,-200,7.0,858,1061,95,1557,811,19.3,47.9,1.0590,102
3.7,1303,-200,19.7,1288,618,114,2116,1236,16.8,66.8,1.2691,202
1.6,1077,-200,10.2,985,742,97,1780,1170,21.8,52.5,1.3529,165
0.9,874,-200,1.6,552,1128,95,760,415,6.9,35.6,0.3561,126
3.6,1387,-200,14.3,1127,530,175,1430,1615,13.4,55.9,0.8588,516
4.1,1247,-200,16.3,1188,598,210,1237,1692,9.1,36.1,0.4172,707
-200,1126,-200,6.4,828,722,-200,1250,955,9.6,82.9,0.9900,-200
-200,1598,-200,35.2,1668,490,-200,2617,1749,16.0,57.3,1.0342,-200
1,1035,-200,7.0,859,732,49,1680,996,27.4,55.0,1.9827,33
2,1145,-200,8.4,915,733,81,1586,892,21.1,68.6,1.7014,247
3.5,-200,-200,-200.0,-200,-200,176,-200,-200,-200,-200,-200,809
3.1,1348,-200,15.3,1157,564,88,1810,1307,23.8,65.0,1.8897,376
1.3,1019,-200,4.6,744,836,-200,1000,1049,5.9,62.1,0.5806,-200
-200,1117,-200,5.8,802,1029,87,1539,818,15.4,57.8,1.0021,85
-200,991,-200,6.4,828,973,-200,1469,993,17.1,50.8,0.9828,-200
6.8,1471,-200,30.3,1559,605,168,1939,1669,11.5,68.0,0.9207,731
-200,813,-200,1.8,566,1123,-200,1328,501,24.8,52.2,1.6086,-200
0.3,749,-200,1.5,543,1238,23,1244,462,23.3,41.9,1.1856,16
-200,929,-200,3.3,668,937,-200,1054,696,10.6,59.9,0.7674,-200
6.2,1601,-200,37.9,1727,389,118,2252,1718,16.5,69.3,1.2897,725
2.4,1106,-200,13.4,1097,902,105,1552,941,26.7,17.1,0.5909,135
0.5,862,-200,3.4,677,973,43,1192,725,16.1,69.3,1.2591,96
-200,1455,-200,26.5,1468,474,-200,1945,1746,19.4,61.1,1.3652,-200
8,1774,-200,42.8,1829,359,154,2457,2152,21.4,60.9,1.5322,852
1.7,1161,-200,6.1,815,995,86,1582,909,16.1,60.0,1.0919,93
-200,951,-200,7.8,892,1015,-200,1611,786,23.0,43.1,1.1993,-200
1,950,-200,4.0,713,917,68,1139,841,11.8,71.4,0.9864,172
1.7,1037,-200,5.2,771,784,122,1004,1029,2.3,75.1,0.5514,233
2.6,901,-200,4.7,747,1001,114,1020,657,9.6,52.4,0.6276,216
1.1,873,-200,2.4,610,1051,102,819,527,3.6,45.8,0.3674,139
5.0,1766,-200,24.6,1419,404,251,1659,2317,11.0,55.1,0.7221,903
0.6,859,-200,0.8,479,1285,48,822,313,5.8,65.0,0.6029,51
-200,1456,-200,23.4,1389,443,-200,1808,1504,9.1,77.1,0.8947,-200
4.7,1508,-200,24.5,1416,418,162,1773,1733,12.9,61.5,0.9139,596
-200,962,-200,6.8,849,861,97,1559,804,31.7,31.5,1.4487,111
-200,1099,-200,11.9,1048,657,-200,1711,779,33.0,29.5,1.4613,-200
3.2,1190,-200,16.8,1203,658,119,1967,1056,25.4,43.2,1.3805,118
0.9,951,57,3.3,673,1137,-200,1381,797,11.8,64.3,0.8869,-200
4.5,1477,-200,25.5,1443,469,126,1878,1646,19.6,58.3,1.3141,658
2.5,1077,-200,9.6,963,761,129,1081,1151,5.8,49.8,0.4613,386
-200,1146,-200,14.2,1122,639,-200,1659,1131,24.4,43.9,1.3184,-200
-200.0,1044,-200,3.5,685,903,104,1042,860,5.8,74.4,0.6924,141
-200,1004,-200,8.5,921,699,-200,1495,1092,24.9,47.9,1.4855,-200
-200,812,-200,3.4,675,995,-200,1348,661,21.6,51.6,1.3171,-200
0.7,755,-200,1.4,538,1285,79,621,343,1.0,34.3,0.2292,100
1.4,943,-200,3.6,688,924,116,909,629,9.6,43.5,0.5202,179
1.4,1032,-200,4.6,744,813,79,1695,778,25.4,68.0,2.1806,87
3.3,1336,-200,15.9,1176,656,131,1891,1468,18.2,54.7,1.1336,208
2.5,1214,-200,12.9,1080,611,87,1642,1190,26.3,43.7,1.4718,323
1,964,-200,4.3,730,985,71,1146,891,12.9,64.2,0.9506,243
-200,-200,-200,-200.0,-200,-200,158,-200,-200,-200,-200,-200,220
3.5,1274,-200,21.2,1329,670,178,2054,1320,38.9,18.8,1.2900,221
0.7,901,-200,5.0,763,984,54,1552,717,23.7,47.1,1.3602,47
2.6,-200,-200,-200.0,-200,-200,149,-200,-200,-200,-200,-200,299
3.1,1394,-200,63.7,2214,411,218,1629,2311,6.2,51.8,0.4952,801
0.7,807,50,2.0,584,1488,44,1104,347,18.3,27.2,0.5675,41
-200,1073,-200,12.1,1052,1009,-200,1574,854,27.5,20.9,0.7565,-200
1.6,1124,163,6.9,853,960,99,1531,873,10.0,68.7,0.8456,149
1.6,1058,-200,7.9,894,736,76,1648,825,33.9,34.1,1.7754,84
3.0,1274,-200,13.3,1094,537,267,1364,1428,7.6,70.8,0.7399,507
3.2,-200,-200,-200.0,-200,-200,129,-200,-200,-200,-200,-200,418
0.2,719,-200,1.2,522,1385,40,1343,509,19.8,50.3,1.1444,24
1.1,983,-200,6.4,831,847,71,1585,887,24.5,44.4,1.3476,68
2,1207,103,10.4,994,1013,104,1520,1045,26.8,18.7,0.6500,135
4.8,1256,-200,11.5,1032,612,189,1230,1371,6.3,60.4,0.5811,488
1.2,1040,-200,6.5,836,762,53,1423,974,20.3,62.5,1.4720,111
-200,1080,-200,7.8,890,723,-200,1702,869,29.8,49.1,2.0248,-200
2.1,1065,232,10.0,979,950,96,1467,766,19.1,26.8,0.5861,106
2.6,1535,-200,20.1,1300,483,223,1524,1725,7.3,76.8,0.7904,977
1.9,1078,-200,10.2,985,778,111,1697,925,28.7,34.7,1.3457,106
1.2,911,-200,3.5,683,981,135,790,558,11.1,23.5,0.3105,188
1.7,1169,-200,6.6,841,623,104,1361,1040,22.3,43.9,1.1695,232
1.6,1049,-200,6.6,839,846,110,1636,858,28.5,41.6,1.5959,103
5.3,1642,804,24.9,1426,597,162,2117,1720,21.8,43.6,1.1226,265
-200,1150,-200,11.2,1020,686,116,1842,1169,26.5,46.3,1.5768,180
1.1,1022,-200,6.2,823,964,61,1599,631,32.5,27.6,1.3229,51
-200,1213,-200,11.1,1018,760,-200,1778,1061,13.3,76.8,1.1703,-200
0.6,791,-200,2.2,598,1186,97,802,608,4.3,43.9,0.3675,176
0.5,871,-200,2.4,611,1077,12,1494,526,27.5,53.0,1.9097,11
4.1,1751,-200,18.5,1255,435,221,1541,2226,9.4,73.4,0.8662,689
1.6,1059,-200,6.0,810,764,126,1200,1002,13.2,62.3,0.9392,227
1.6,937,-200,8.2,908,822,83,1466,826,32.9,24.9,1.2269,86
1.8,1091,-200,9.2,945,698,62,1467,1014,18.4,68.5,1.4390,213
2.8,1145,-200,15.7,1170,751,123,1894,1376,26.7,35.4,1.2233,157
-200,954,-200,9.0,940,776,88,1518,959,25.4,30.1,0.9602,78
6.7,1747,-200,37.1,1709,399,128,2370,1876,24.0,50.6,1.4892,515
3.6,1257,-200,16.0,1179,818,134,1545,1415,19.4,47.1,1.0510,455
1.4,940,-200,6.4,829,823,140,901,716,13.6,22.7,0.3529,209
3.3,1280,-200,17.4,1222,526,160,1519,1452,11.0,60.9,0.7966,525
2.4,1091,-200,11.6,1037,770,132,1512,1038,25.3,35.3,1.1262,299
3.1,1267,-200,15.6,1166,567,179,1382,1505,8.9,60.8,0.6921,535
3.2,1260,-200,15.3,1160,568,79,1755,1231,19.6,75.3,1.6981,403
1.0,888,-200,2.6,625,1062,118,763,510,7.8,28.3,0.3017,170
4.7,1237,-200,16.5,1194,615,-200,1508,1193,8.8,76.6,0.8678,-200
0.6,819,-200,2.2,597,1112,-200,1281,613,19.9,62.3,1.4363,-200
3.4,1405,332,19.9,1295,638,103,2065,1378,18.7,57.6,1.2323,161
4.0,1197,-200,13.6,1102,609,195,1309,1253,7.8,50.8,0.5384,454
-200,882,-200,4.1,716,894,52,1494,790,23.0,52.2,1.4516,52
-200,992,-200,5.4,783,988,-200,1527,663,14.6,68.2,1.1282,-200
9.4,1816,-200,43.9,1851,341,171,2405,2069,15.4,73.0,1.2688,1184
0.4,705,-200,0.8,478,1546,-200,885,330,9.9,54.3,0.6609,-200
-200,989,-200,5.6,793,815,-200,1052,862,9.4,42.5,0.5038,-200
2.7,1292,-200,14.7,1141,556,146,1498,1582,14.6,63.7,1.0508,490
0.4,802,-200,1.7,559,1232,-200,1414,478,25.0,56.0,1.7428,-200
4,1475,-200,21.0,1324,490,115,1925,1530,23.3,57.9,1.6376,475
2,1086,-200,9.2,946,847,89,1729,945,25.2,45.2,1.4262,126
